Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
Claudius Templesmith,https://thehungergames.fandom.com/wiki/Claudius_Templesmith,https://static.wikia.nocookie.net/thehungergames/images/5/56/Tumblr_m00kx5VE4t1r0yeyyo1_500.png/revision/latest/scale-to-width-down/268?cb=20120226204035,The Capitol,46 ( The Hunger Games ) 47 ( Catching Fire ),,,,,"The Hunger Games (film) , The Hunger Games: Catching Fire",,,,,,,,,,,,,,,Hunger Games announcer,,,,,,,,,Mockingjay,Unknown (presumed alive),"The Hunger Games , Catching Fire",Toby Jones,,,,,,Male
Clay Chance,https://thehungergames.fandom.com/wiki/Clay_Chance,,District 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binnie Chance † (sister) Woodbine Chance † Arlo Chance † (possible ancestor) [ 1 ],,Sunrise on the Reaping,Deceased,,,,,,,,Male
Clayton,https://thehungergames.fandom.com/wiki/Clayton,https://static.wikia.nocookie.net/thehungergames/images/2/2b/Clayton.png/revision/latest/scale-to-width-down/268?cb=20260418040652,District 9,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’11” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Salimou Thiam [ 1 ],,,,,,Male
Clemensia Dovecote,https://thehungergames.fandom.com/wiki/Clemensia_Dovecote,https://static.wikia.nocookie.net/thehungergames/images/4/49/Clemensia_at_the_Citadel.jpg/revision/latest/scale-to-width-down/268?cb=20240816215001,The Capitol,17-18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,Clemmie (by Coriolanus Snow ) [ 1 ] Clem (by Festus Creed and Lysistrata Vickers ) [ 2 ],,,,Alive (book) Deceased (film) [ 3 ],The Ballad of Songbirds and Snakes,Ashley Liao,,,,,,Female
Clerk Carmine Clade,https://thehungergames.fandom.com/wiki/Clerk_Carmine,https://static.wikia.nocookie.net/thehungergames/images/3/38/ClerkCarmine.jpg/revision/latest/scale-to-width-down/268?cb=20231222115732,The Seam in District 12 District 13,Around 12 ( The Ballad of Songbirds and Snakes ) Around 52 ( Sunrise on the Reaping ) Around 77 ( Mockingjay ),,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Musician,,,,,,CC,Unnamed parents Billy Taupe Clade † (older brother) Lenore Dove Baird † (adoptive niece) The Covey (adoptive family) Burdock Everdeen † (distant relative) Unnamed partner †,,,Alive,Mockingjay The Ballad of Songbirds and Snakes Sunrise on the Reaping,Konstantin Taffet Jeffrey Hallman (SOTR),,,,,,Male
Clove,https://thehungergames.fandom.com/wiki/Clove,https://static.wikia.nocookie.net/thehungergames/images/b/b7/Tribute_D2_female.jpg/revision/latest?cb=20120208002011,District 2,15 (film) [ 1 ],The Hunger Games: Mockingjay - Part 2,,,,The Hunger Games,Brown (film),,,,,,,,,,,,,,Career Tribute,,,,"5'4"" (film) [ 1 ]",,,,Dark (book) Brown (film),Catching Fire Mockingjay,Deceased,The Hunger Games,Isabelle Fuhrman (film) Liana Cottrill ( stage ),,,,Throwing knives,,Female
Coil,https://thehungergames.fandom.com/wiki/Coil,,District 3,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’1” (film),,,,Light brown (film),,Deceased,Sunrise on the Reaping,Sophie Paasch,,,,,,Female
Commander Hoff,https://thehungergames.fandom.com/wiki/Commander_Hoff,https://static.wikia.nocookie.net/thehungergames/images/c/c0/Commander_Hoff.jpg/revision/latest/scale-to-width-down/268?cb=20230508234106,District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Peacekeeper commander,,,,,,,,,,Replaced,The Ballad of Songbirds and Snakes,Burn Gorman,,,,,,Male
Commander Paylor,https://thehungergames.fandom.com/wiki/Commander_Paylor,https://static.wikia.nocookie.net/thehungergames/images/5/5f/Commander_Paylor.png/revision/latest/scale-to-width-down/268?cb=20151222092633,District 8 (originally) The Capitol (after rebellion),Early 30s [ 1 ],,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Commander ( Second Rebellion ) President of Panem,,,,,,,,,,Alive,Mockingjay,Patina Miller,,,,Machine gun,,Female
Cookie,https://thehungergames.fandom.com/wiki/Cookie,,District 12,,,,,,,,,,,,,,,,,,,,,Peacekeeper,,,,,,,,,,,,,,,,,,Male
Coral,https://thehungergames.fandom.com/wiki/Coral,https://static.wikia.nocookie.net/thehungergames/images/4/4e/Coral_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/267?cb=20231102205733,District 4,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute,,,,,,Cunning Coral (by Lucky Flickerman ),,Red (film),,Deceased,The Ballad of Songbirds and Snakes,Mackenzie Lansing,,,,Trident Knife,,Female
Coriolanus Snow,https://thehungergames.fandom.com/wiki/Coriolanus_Snow,https://static.wikia.nocookie.net/thehungergames/images/7/7b/SnowCapitolCouture.jpg/revision/latest/scale-to-width-down/268?cb=20231107225829,The Capitol District 12 (deployed),18 ( The Ballad of Songbirds and Snakes ) 58 ( Sunrise on the Reaping ) 82 ( The Hunger Games ) 83-84 ( Catching Fire and Mockingjay ),,,,,The Hunger Games The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: The Ballad of Songbirds & Snakes The Hunger Games: Sunrise on the Reaping (upcoming),Pale blue,,,,,,,,,,,,,,"President of Panem Academy student (graduated) Mentor (formerly) Student aide (formerly) Peacekeeper - Private [ 1 ] to Officer [ 2 ] (honorably discharged) University student (graduated) Gamemaker (intern, formerly)",,,,,,Coryo (by Tigris and Sejanus Plinth ) Sweetheart (by Lucy Gray Baird ) Gent (by District 12 Peacekeepers),Crassus Snow † (father) Unnamed mother † Unnamed younger sister † Unnamed wife Unnamed child Unnamed granddaughter Grandma'am † (paternal grandmother) Mr. Snow † (paternal grandfather) Tigris (paternal cousin),"Blonde (young, book and film) White (elderly, film)",,Deceased,The Hunger Games Catching Fire Mockingjay The Ballad of Songbirds and Snakes Sunrise on the Reaping,Donald Sutherland (original trilogy) Ralph Fiennes (SOTR) [ 3 ] Tom Blyth (TBOSAS) [ 4 ] Dexter Sol Ansell (Dark Days) John Malkovich { stage ),,,,Poison Plank ( 10th Hunger Games ) Gun,,Male
Covey,https://thehungergames.fandom.com/wiki/Covey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassus Snow,https://thehungergames.fandom.com/wiki/Crassus_Snow,https://static.wikia.nocookie.net/thehungergames/images/6/6f/Crassus_Snow.jpg/revision/latest/scale-to-width-down/268?cb=20240214191910,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Military General,,,,,,,Grandma'am (mother) Unnamed wife † Coriolanus Snow † (son) Unnamed daughter † Tigris (niece) Unnamed sibling (Tigris's parent) Unnamed great-granddaughter,,The Ballad of Songbirds and Snakes,Deceased,,Unknown,,,,,,Male
Cray,https://thehungergames.fandom.com/wiki/Cray,https://static.wikia.nocookie.net/thehungergames/images/9/94/Cray2.png/revision/latest/scale-to-width-down/268?cb=20140217003321,District 12,Elderly,,,,,,,,,,,,,,,,,,,,Head Peacekeeper (formerly),,,,,,,,,Mockingjay,Presumed deceased,Catching Fire,Wilbur Fitzgerald,,,,Gun,,Male
Cressida,https://thehungergames.fandom.com/wiki/Cressida,https://static.wikia.nocookie.net/thehungergames/images/1/1b/CressidaD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,The Capitol District 13 (briefly),20s,,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Film director Rebel,,,,,,,,,,Alive,Mockingjay,Natalie Dormer,,,,Gun,,Female
Crispus Demigloss,https://thehungergames.fandom.com/wiki/Crispus_Demigloss,,The Capitol,,,,,,,,,,,,,,,,,,,,,History professor,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Cyrus,https://thehungergames.fandom.com/wiki/Cyrus,,The Capitol,,,,,,,,,,,,,,,,,,,,,Musician,,,,,,,Pluribus Bell (partner),,The Ballad of Songbirds and Snakes,Deceased (Killed by bombs during the Dark Days ),,,,,,,,Male
Dalton,https://thehungergames.fandom.com/wiki/Dalton,https://static.wikia.nocookie.net/thehungergames/images/6/63/C64569A6-1013-4A08-BEF0-753760BADB1C.jpeg/revision/latest/scale-to-width-down/268?cb=20181216105906,District 10 [ 1 ] District 13 [ 1 ],Unknown,,,,,,,,,,,,,,,,,,,,Maintain Genetic Diversity on Beef Ranch,,,,,,,,,,Alive,,,,,,Unknown,,Male
Darius,https://thehungergames.fandom.com/wiki/Darius,,District 12 (formerly) The Capitol (briefly),Early 20s [ 1 ],,,,,,,,,,,,,,,,,,,,Peacekeeper (formerly) Avox,,,,,,,,,Mockingjay,Deceased,Catching Fire,,,,,,,Male
Delly Cartwright,https://thehungergames.fandom.com/wiki/Delly_Cartwright,,District 12 District 13 (briefly),16–18 ( Mockingjay ),,,,,,,,,,,,,,,,,,,,Student Merchant,,,,,,,Unnamed parents Unnamed younger brother,Blond [ 2 ],The Hunger Games [ 1 ],Alive,Mockingjay,,,,,,,Female
Dennis Fling,https://thehungergames.fandom.com/wiki/Dennis_Fling,https://static.wikia.nocookie.net/thehungergames/images/9/9a/Dennis_Fling.jpg/revision/latest/scale-to-width-down/268?cb=20231223173324,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Yalany Marschner,,,,,,Male
Diana Ring,https://thehungergames.fandom.com/wiki/Diana_Ring,https://static.wikia.nocookie.net/thehungergames/images/2/29/Diana_Ring.jpg/revision/latest/scale-to-width-down/268?cb=20231222171016,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,Didi,Apollo Ring (twin brother),,,Deceased (book) Unknown (film),The Ballad of Songbirds and Snakes,Emma Brüggler,,,,,,Female
Dill,https://thehungergames.fandom.com/wiki/Dill,https://static.wikia.nocookie.net/thehungergames/images/a/a5/Dill.jpg/revision/latest/scale-to-width-down/268?cb=20231102205902,District 11,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Strawberry-blonde (film),,Deceased,The Ballad of Songbirds and Snakes,Luna Steeples,,,,,,Female
Dio,https://thehungergames.fandom.com/wiki/Dio,,District 3,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’10” (film),,,,Dark blonde (film),,Deceased,Sunrise on the Reaping,Annika Schnauffer,,,,,,Female
Domitia Whimsiwick,https://thehungergames.fandom.com/wiki/Domitia_Whimsiwick,https://static.wikia.nocookie.net/thehungergames/images/7/7b/Domitia_Whimsiwick.jpg/revision/latest/scale-to-width-down/268?cb=20231106221547,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,Alive,The Ballad of Songbirds and Snakes,Kaitlyn Akinpelumi,,,,,,Female
Dr. Aurelius,https://thehungergames.fandom.com/wiki/Dr._Aurelius,https://static.wikia.nocookie.net/thehungergames/images/6/64/Dr._Aurelius.png/revision/latest/scale-to-width-down/268?cb=20230623172951,The Capitol (book) District 13 (film),,,,,,The Hunger Games: Mockingjay - Part 2,,,,,,,,,,,,,,,Doctor,,,,,,,,,,Alive,Mockingjay,April Grace,,,,,,Male (book) Female (film)
Dr. Kay,https://thehungergames.fandom.com/wiki/Dr._Kay,,The Capitol,,,,,,,,,,,,,,,,,,,,,Biologist at the Citadel,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Female
Dr. Wane,https://thehungergames.fandom.com/wiki/Dr._Wane,,The Capitol,,,,,,,,,,,,,,,,,,,,,Doctor,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Drusilla Sickle,https://thehungergames.fandom.com/wiki/Drusilla_Sickle,https://static.wikia.nocookie.net/thehungergames/images/2/29/DrusillaSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120143405,The Capitol,"Significantly older than 30, [ 2 ] perhaps around Hattie Meeney 's age [ 3 ]",,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,Escort,,,,,,Drusie [ 1 ],Magno Stift (husband) Unknown relations Agrippina Sickle Vipsania Sickle,,Catching Fire,,Sunrise on the Reaping,Glenn Close,,,,,,Female
Eddy,https://thehungergames.fandom.com/wiki/Eddy,https://static.wikia.nocookie.net/thehungergames/images/c/cd/Eddy.png/revision/latest/scale-to-width-down/268?cb=20140919011655,District 8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnamed sister †,,,Deceased,Mockingjay,Michael Garza,,,,,,Male
Eddy's sister,https://thehungergames.fandom.com/wiki/Eddy%27s_sister,,District 8,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddy (younger brother)  †,,,Deceased,Mockingjay,,,,,,,Female
Effie Trinket,https://thehungergames.fandom.com/wiki/Effie_Trinket,https://static.wikia.nocookie.net/thehungergames/images/7/7d/Effie_trinket_promo.jpg/revision/latest/scale-to-width-down/268?cb=20120405064654,The Capitol District 13 (film),20s ( Sunrise on the Reaping ) Mid-late 40s ( The Hunger Games ),,,,,The Hunger Games film The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Blue (films),,,,,,,,,,,,,,Escort (formerly) Rebel Plutarch Heavensbee 's assistant (film),,,,,,,Proserpina Trinket (younger sister) Messalina Trinket (paternal great-aunt) Silius Trinket (paternal great-uncle),"Blonde (films, young) Various colored wigs (books and films) [ 1 ] [ 2 ] [ 3 ]",,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Elizabeth Banks (original trilogy) Elle Fanning (SOTR) [ 4 ] Tamsin Carroll ( stage ),,,,,,Female
Enobaria,https://thehungergames.fandom.com/wiki/Enobaria,https://static.wikia.nocookie.net/thehungergames/images/e/e7/Quarter_quell_enobaria.jpg/revision/latest/scale-to-width-down/267?cb=20140218191011,Victors' Village in District 2,14-18 ( 62nd Hunger Games ) [ 2 ] 27-31 ( 75th Hunger Games ) [ 1 ],,,,,Catching Fire (film) Mockingjay - Part 2,,,,,,,,,,,,,,,Victor ( 62nd Hunger Games ) Mentor Career Tribute ( 75th Hunger Games ) [ 1 ],,,,,,,,,,Alive,Catching Fire Mockingjay,Meta Golding,,,,Teeth [ 1 ] Sword Knife Martial arts,,Female
Escort,https://thehungergames.fandom.com/wiki/Escort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabricia Whatnot,https://thehungergames.fandom.com/wiki/Fabricia_Whatnot,,The Capitol,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,Fashion designer,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,,,Female
Facet,https://thehungergames.fandom.com/wiki/Facet,https://static.wikia.nocookie.net/thehungergames/images/4/43/Facet_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20250427051604,District 1,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dirty-blond (film),,Deceased (Shot by Peacekeepers ),The Ballad of Songbirds and Snakes,Tim Torok,,,,,,Male
Faustina Gripper,https://thehungergames.fandom.com/wiki/Faustina_Gripper,,The Capitol,,,,,,,,,,,,,,,,,,,,,Head Gamemaker,,,,,,,,,,,Sunrise on the Reaping,,,,,,,Female
Feast,https://thehungergames.fandom.com/wiki/Feast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Ravinstill,https://thehungergames.fandom.com/wiki/Felix_Ravinstill,https://static.wikia.nocookie.net/thehungergames/images/7/79/Felixr.jpg/revision/latest/scale-to-width-down/268?cb=20231222122632,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,Maximinius Ravinstill (great-uncle),,,Alive (book) Deceased (film),The Ballad of Songbirds and Snakes,Aamer Husain,,,,,,Male
Festus Creed,https://thehungergames.fandom.com/wiki/Festus_Creed,https://static.wikia.nocookie.net/thehungergames/images/0/0e/Festus_Creed.jpg/revision/latest/scale-to-width-down/268?cb=20240803205552,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Max Raphael,,,,,,Male
Finnick Odair,https://thehungergames.fandom.com/wiki/Finnick_Odair,https://static.wikia.nocookie.net/thehungergames/images/1/15/FinnickD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,Victors' Village in District 4 District 13 (briefly),14 ( 65th Hunger Games ) 24 ( Catching Fire ) 24-25 ( Mockingjay ),,,,,Catching Fire Mockingjay - Part 1 Mockingjay - Part 2,Sea-green (books) Green (films),,,,,,,,,,,,,,Career Tribute ( 65th & 75th Hunger Games ) Victor (65th HG) Mentor ( 74th Hunger Games ) Soldier,,,,,,,Mags Flanagan † (adoptive family) Annie Cresta (wife) Unnamed son,Bronze (books and films),,Deceased,Catching Fire Mockingjay,Sam Claflin,,,,Knife Net Spear Trident Gun,,Male
Finnick and Annie's wedding,https://thehungergames.fandom.com/wiki/Finnick_and_Annie%27s_Wedding,https://static.wikia.nocookie.net/thehungergames/images/7/78/Finnick_and_Annie%27s_wedding.png/revision/latest/scale-to-width-down/268?cb=20150609232512,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autumn, 75 ADD",,,,,,,,Marriage of Finnick Odair and Annie Cresta Eventual birth of Annie and Finnick Odair's son,District 13,,,,
Fisser,https://thehungergames.fandom.com/wiki/Fisser,https://static.wikia.nocookie.net/thehungergames/images/6/6f/Fisser1.png/revision/latest/scale-to-width-down/268?cb=20260704215426,District 5,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,"5'7"" (film)",,,,Brown (film),,Deceased,Sunrise on the Reaping,Christian Camillo Engel,,,,,,Male
Flavius,https://thehungergames.fandom.com/wiki/Flavius,https://static.wikia.nocookie.net/thehungergames/images/4/4e/Flavius001.png/revision/latest/scale-to-width-down/268?cb=20130601204653,The Capitol District 13 (briefly),,,,,,,,,,,,,,,,,,,,,Prep team for Katniss Everdeen,,,,,,,,,,Alive,"The Hunger Games , Catching Fire , Mockingjay",Nelson Ascencio,,,,,,Male
Florus Friend,https://thehungergames.fandom.com/wiki/Florus_Friend,https://static.wikia.nocookie.net/thehungergames/images/0/0a/Florus_Friend.jpg/revision/latest/scale-to-width-down/268?cb=20231223173011,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Levi Strasser,,,,,,Male
"""Foxface""",https://thehungergames.fandom.com/wiki/Foxface,https://static.wikia.nocookie.net/thehungergames/images/a/ad/Tribute_D5_Female_copy.jpg/revision/latest/scale-to-width-down/268?cb=20120214004426,District 5 [ 2 ],14 (film) [ 1 ] 15 ( The Hunger Games: Tribute Guide ),,,,,The Hunger Games (film),Amber (book) [ 3 ] Green (film),,,,,,,,,,,,,,Tribute [ 2 ],,,,"5'5"" [ 1 ]",,(Jump to Trivia),,Red (book [ 3 ] and film),Catching Fire,Deceased,The Hunger Games,Jacqueline Emerson,,,,"Stealth , Knife (film)",,Female
Fulvia Cardew,https://thehungergames.fandom.com/wiki/Fulvia_Cardew,,The Capitol District 13 (briefly),,,,,,,,,,,,,,,,,,,,,Assistant to Plutarch Heavensbee Rebel,,,,,,,,,,Alive,Mockingjay,,,,,Propaganda,,Female
Gaius Breen,https://thehungergames.fandom.com/wiki/Gaius_Breen,https://static.wikia.nocookie.net/thehungergames/images/c/c0/Gaius_Breen.jpg/revision/latest?cb=20231106215931,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,Deceased (book) Alive (film),The Ballad of Songbirds and Snakes,Joshua Kantara,,,,,,Male
Gale Hawthorne,https://thehungergames.fandom.com/wiki/Gale_Hawthorne,https://static.wikia.nocookie.net/thehungergames/images/d/d6/GaleD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,District 12 (formerly) District 13 (briefly) District 2,18 ( The Hunger Games ) 18-19 ( Catching Fire ) 19-20 ( Mockingjay ),,,,,The Hunger Games film The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2,Grey (books) [ 2 ] Light blue (films),,,,,,,,,,,,,,Hunter (formerly) Coal miner (formerly) Soldier (formerly) Government official,,,,Over 6 feet [ 1 ],,,Mr. Hawthorne (father) Hazelle Hawthorne (mother) Rory Hawthorne (younger brother) Vick Hawthorne (younger brother) Posy Hawthorne (younger sister),Black (books) [ 2 ] Brown (films),,Alive,The Hunger Games Catching Fire Mockingjay,Liam Hemsworth (films) Tristan Waterson ( stage ),,,,Snares Bombs Bow and arrow Gun Crossbow,,Male
Gamemaker,https://thehungergames.fandom.com/wiki/Gamemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginnee,https://thehungergames.fandom.com/wiki/Ginnee,https://static.wikia.nocookie.net/thehungergames/images/d/d7/GinneBTS.png/revision/latest/scale-to-width-down/267?cb=20250416215403,District 6,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Light-brown (film),,Deceased (Killed in bombing),The Ballad of Songbirds and Snakes,Kyra Reinert,,,,,,Female
Glimmer,https://thehungergames.fandom.com/wiki/Glimmer,https://static.wikia.nocookie.net/thehungergames/images/f/fc/Tribute_D1_female.jpg/revision/latest/scale-to-width-down/268?cb=20120214004219,District 1,17 (film) [ 1 ],,,,,The Hunger Games (film),Green (book [ 2 ] and film),,,,,,,,,,,,,,Career Tribute,,,,"5'7"" (film) [ 1 ]",,,,Blonde (book [ 2 ] and film),,Deceased,The Hunger Games,Leven Rambin (film) Mariana Lewis ( stage ),,,,Bow and arrows ( book and film) Knife (film) Sword (film),,Female
Gloss,https://thehungergames.fandom.com/wiki/Gloss,https://static.wikia.nocookie.net/thehungergames/images/5/5d/Quarter_quell_gloss.jpg/revision/latest/scale-to-width-down/267?cb=20140218190901,Victors' Village in District 1,15 ( 63rd Hunger Games ) 27 ( Catching Fire ) [ 1 ],,,,,The Hunger Games: Catching Fire,Green (film),,,,,,,,,,,,,,Victor ( 63rd Hunger Games ) Mentor Career Tribute ( 75th Hunger Games ) [ 2 ],,,,,,,Cashmere † (younger sister),Dark blond (film),,Deceased,Catching Fire,Alan Ritchson,,,,Dagger Throwing knives,,Male
Grandma'am,https://thehungergames.fandom.com/wiki/Grandma%27am,https://static.wikia.nocookie.net/thehungergames/images/8/8e/Grandma%27am_promo_still_9.28.png/revision/latest/scale-to-width-down/268?cb=20230928191107,The Capitol,Elderly,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,Crassus Snow † (son) Unnamed child (Tigris's parent) Tigris (granddaughter) Coriolanus Snow † (grandson) Unnamed granddaughter † Unnamed great-great-granddaughter Unnamed daughter-in-law †,,,Deceased,The Ballad of Songbirds and Snakes,Fionnula Flanagan,,,,,,Female
Greasy Sae,https://thehungergames.fandom.com/wiki/Greasy_Sae,https://static.wikia.nocookie.net/thehungergames/images/1/18/Sae.jpg/revision/latest?cb=20140217003056,District 12 District 13 (briefly),,,,,,The Hunger Games (film) The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Vendor at the Hob Cook,,,,,,,Unnamed granddaughter,,,Alive,The Hunger Games Catching Fire Mockingjay,Sandra Ellis Lafferty,,,,,,Female
Hattie Meeney,https://thehungergames.fandom.com/wiki/Hattie_Meeney,,District 12,Over 60 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,Bootlegger,,,,,,,,,,,Sunrise on the Reaping,Melody Chikakane Brown,,,,,,Female
Haymitch Abernathy,https://thehungergames.fandom.com/wiki/Haymitch_Abernathy,https://static.wikia.nocookie.net/thehungergames/images/8/80/HaymitchMJ.png/revision/latest/scale-to-width-down/267?cb=20231107224727,Victors' Village in District 12 The Seam (formerly) District 13 (briefly),16 ( Sunrise on the Reaping ) [ 1 ] 40 ( The Hunger Games ) 41-42 ( Catching Fire & Mockingjay ),,,,,The Hunger Games film The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Grey (books) [ 3 ] Blue (films),,,,,,,,,,,,,,Bootlegger [ 1 ] Victor ( 50th Hunger Games ) Mentor ( 51st to 75th Hunger Games ),,,,6’2” ( The Hunger Games: Sunrise on the Reaping ) (film),,Itchy Itchy Haymitchy (by Maysilee Donner ) [ 2 ] Hay (by Louella McCoy ) [ 2 ] Rascal (by Caesar Flickerman and Drusilla Sickle ) Darling (by Lenore Dove Baird ) [ 2 ],Unnamed father † Willamae Abernathy † (mother) Sid Abernathy † (younger brother) Two unnamed younger sisters † Mamaw † (paternal grandmother),Dark (books) [ 3 ] Graying blond (films),,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Woody Harrelson (original trilogy) Joseph Zada (SOTR) Joshua Lacey ( stage ),,,,Knife Intelligence Force field Spear Axe,,Male
Hazelle Hawthorne,https://thehungergames.fandom.com/wiki/Hazelle_Hawthorne,https://static.wikia.nocookie.net/thehungergames/images/8/84/Hazelle.png/revision/latest?cb=20250416170632,District 12 District 13 (briefly),,,,,,,,,,,,,,,,,,,,,Washerwoman Haymitch Abernathy 's housekeeper,,,,,,,Mr. Hawthorne (husband) Gale Hawthorne (son) Rory Hawthorne (son) Vick Hawthorne (son) Posy Hawthorne (daughter),,,Alive,The Hunger Games Catching Fire Mockingjay,,,,,,,Female
Heartwood,https://thehungergames.fandom.com/wiki/Heartwood,https://static.wikia.nocookie.net/thehungergames/images/5/56/Heartwood.png/revision/latest/scale-to-width-down/190?cb=20260418032807,District 7,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’8” (film),,,,Black (film),,Deceased,Sunrise on the Reaping,Thien Phouc Nguyen,,,,Knife (film),,Male
Hersilia,https://thehungergames.fandom.com/wiki/Hersilia,,The Capitol,,,,,,The Hunger Games: Sunrise on the Reaping,,,,,,,,,,,,,,,Tribute trainer,,,,,,,,,,Unknown,Sunrise on the Reaping,Sandra Förster,,,,Throwing knife,,Female
