Name,URL,Image_URL,Indirect:,Episode count:,Born:,Last appears,Cellmate(s):,Eye color,Sex,Original Identity,Occupation,Death reason:,Shows,Cellmate(s),First appears:,Prison,Age,Sex:,First Appearance,Alias(es):,Family,Cause of death,Season(s):,Portrayed by,Affiliations,Last Appearance,Last appears:,Species:,Kills:,First appears,Death,Sentence,Status,Affiliations:,Prison:,Actor,Created by:,Portrayed by:,Status:,Hair color,Other names,Crime(s),Died:
Charles Patoshik,https://prisonbreak.fandom.com/wiki/Charles_Patoshik,https://static.wikia.nocookie.net/prisonbreak/images/e/ee/Prison-break-mitchell74.jpg/revision/latest?cb=20110115105402,,12,,,Michael Scofield ( Cell 40 ),,,,,Suicide by jumping (on Mahone 's orders),,,Cell Test,,,Male,,Haywire Billy [ 1 ],,,"PB : 1 , 2 , 3 , 4",,,,Going Under (Picture only),,3,,,,,,Fox River,,Michael Pavone,Silas Weir Mitchell Michael Deffert [ 2 ] (Deutch),Deceased ( Source ),,,,2005
Charles Patoshik (Pobeg),https://prisonbreak.fandom.com/wiki/Charles_Patoshik_(Pobeg),https://static.wikia.nocookie.net/prisonbreak/images/3/34/CharlesPatoshikPobeg.jpg/revision/latest/scale-to-width-down/268?cb=20111026093845,,,,,,,,,,,,,,,,Male,,,,,1,,,,,,,,,,,,,,,,Alive,,,,
Charles Patoshik (The Conspiracy),https://prisonbreak.fandom.com/wiki/Charles_Patoshik_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/c/c9/Galerie_Prison_Break_-_The_Conspiracy_126955293577.jpg/revision/latest/scale-to-width-down/268?cb=20110115130123,,,,,,,,,,,,Michael Scofield ( Cell 40 ),,Fox River,,,,,,,,Unknown voice actor (Deutch),,,,,,,,(Unknown),Alive,,,,,,,,,(Crimes in prison; Unknown),
Charles Westmoreland,https://prisonbreak.fandom.com/wiki/Charles_Westmoreland,https://static.wikia.nocookie.net/prisonbreak/images/4/48/250px-Pb_westmoreland.jpg/revision/latest?cb=20070302152951,,18,1946,,,,,,,Fell on glass and bled to death.,,,Pilot,,,Male,,,,,"1 , 2 , 4",,,,Going Under,,,,,,,,,,Paul Scheuring,Muse Watson,Deceased,,,,"May 27, 2005 , Fox River"
Charles Westmoreland (Pobeg),https://prisonbreak.fandom.com/wiki/Charles_Westmoreland_(Pobeg),,,,,,,,,,,Killed by Brad Bellick,,,,,,Male,,,,,1,,,,,,,,,,,,,,,,Deceased,,,,
Charles Westmoreland (The Conspiracy),https://prisonbreak.fandom.com/wiki/Charles_Westmoreland_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/6/6e/T_df5aa9af.png/revision/latest?cb=20100528070209,,7,,,,,,,,,,,Chapter 1,,,Male,,,,,The Conspiracy,,,,Chapter 9,,,,,,,,Fox River,,,Unknown voice actor (English),Unknown,,,,
Charles Westmoreland Senior,https://prisonbreak.fandom.com/wiki/Charles_Westmoreland_Senior,https://static.wikia.nocookie.net/prisonbreak/images/d/d5/Male.jpg/revision/latest?cb=20100501194117,,,,(Mentioned only),,,,,,,,,,,,,,,,,,,,,,,,(Mentioned only),,,Unknown,,,,,,,,,,
Charlie Jenkins,https://prisonbreak.fandom.com/wiki/Charlie_Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheo,https://prisonbreak.fandom.com/wiki/Cheo,https://static.wikia.nocookie.net/prisonbreak/images/9/94/Pb_306_01.jpg/revision/latest/scale-to-width-down/268?cb=20100506180648,,6,,,,,,,,Stabbed and throat slit by Lechero,,,Orientación,,,Male,,,,,3,,,,Photo Finish,,,,,,,Lechero's gang,Sona,,,Curtis Wayne,Deceased,,,,"2005 , Sona"
Chet Bingham,https://prisonbreak.fandom.com/wiki/Chet_Bingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,https://prisonbreak.fandom.com/wiki/Cheyenne,,,,,,,,Female,,Inmate,,,,,,,,,,,,,Kelli Berglund,,,,,,,,,Alive,,,,,,,,,,
Chi Chi,https://prisonbreak.fandom.com/wiki/Chi_Chi,https://static.wikia.nocookie.net/prisonbreak/images/3/33/Normal_ep220_087.jpg/revision/latest/scale-to-width-down/268?cb=20090423133812,,,,2x20,,,,,,,,,,,,,,,,,,Alex Meneses,,,,,,2x20,,,Deceased,,,,,,,,,,
Chicken Caesar,https://prisonbreak.fandom.com/wiki/Chicken_Caesar,https://static.wikia.nocookie.net/prisonbreak/images/4/40/The_Conspiracy_4.PNG/revision/latest/scale-to-width-down/268?cb=20110404193021,,,,,,,,,,,,,Chapter 4,,,Male,,,,,Prison Break: The Conspiracy,,,,Chapter 4,,,,,,,,Fox River,,,( unknown actor ),Unknown,,,,
Chris Franco,https://prisonbreak.fandom.com/wiki/Chris_Franco,https://static.wikia.nocookie.net/prisonbreak/images/1/18/Sito_prison_break_finale_01a.png/revision/latest/scale-to-width-down/267?cb=20100417215944,,,,Killing Your Number,,,,,,,,,,,,,,,,,,William Mapother,,,,,,Rate of Exchange,,,Alive,,,,,,,,,,
Christina Haberkern,https://prisonbreak.fandom.com/wiki/Christina_Haberkern,https://static.wikia.nocookie.net/prisonbreak/images/6/61/Female.jpg/revision/latest?cb=20100501200110,,,,Breaking and Entering,,,,,,,,,,,,,,,,,,( unknown actor ),,,,,,Breaking and Entering,,,Alive,,,,,,,,,,
Christina Scofield,https://prisonbreak.fandom.com/wiki/Christina_Scofield,https://static.wikia.nocookie.net/prisonbreak/images/6/60/416_sunshinestate_0012.jpg/revision/latest/scale-to-width-down/268?cb=20100611211847,,,1952,,,,,,,Shot by Sara Tancredi,,,The Sunshine State,,,Female,,,,,"1 , 2 , 3 , 4 , The Final Break",,,,Killing Your Number,,,,,,,,,,,,Deceased,,,,2005
Christina Scofield's bodyguard (I),https://prisonbreak.fandom.com/wiki/Christina_Scofield%27s_bodyguard_(I),https://static.wikia.nocookie.net/prisonbreak/images/d/d2/Bscap00001.jpg/revision/latest/scale-to-width-down/268?cb=20120824163718,,,,Rate of Exchange,,,,,,,,,,,,,,,,,,( unknown actor ),,,,,,Rate of Exchange,,,Deceased,,,,,,,,,,
Christina Scofield's bodyguard (II),https://prisonbreak.fandom.com/wiki/Christina_Scofield%27s_bodyguard_(II),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina Scofield's sniper,https://prisonbreak.fandom.com/wiki/Christina_Scofield%27s_sniper,https://static.wikia.nocookie.net/prisonbreak/images/6/6f/PrisonBreakS04E18HDTVXviD-LOLavi-19.jpg/revision/latest/scale-to-width-down/268?cb=20110306123307,,2,,,,,,,,Attacked by a car by an unknown civilian,,,The Mother Lode,,,Male,,,,,4,,,,Versus,,,,,,,,,,Seth Hoffman,Billy Bussey,Deceased,,,,2005
Chuck,https://prisonbreak.fandom.com/wiki/Chuck,https://static.wikia.nocookie.net/prisonbreak/images/8/8f/Normal_ep203_054.jpg/revision/latest/scale-to-width-down/268?cb=20100426173957,,,,Scan,,,,,,,,,,,,,,,,,,,,,,,,Scan,,,Alive,,,,,,,,,,
Cindy,https://prisonbreak.fandom.com/wiki/Cindy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia,https://prisonbreak.fandom.com/wiki/Claudia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Krauss,https://prisonbreak.fandom.com/wiki/Cliff_Krauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clozza,https://prisonbreak.fandom.com/wiki/Clozza,https://static.wikia.nocookie.net/prisonbreak/images/e/ed/Normal_404-093.jpg/revision/latest/scale-to-width-down/268?cb=20100408183721,,,,Eagles and Angels,,,,,,,,,,,,,,,,,,Dylan Kenin,,,,,,Eagles and Angels,,,Deceased,,,,,,,,,,
Coffee man,https://prisonbreak.fandom.com/wiki/Coffee_man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Pfeiffer,https://prisonbreak.fandom.com/wiki/Cole_Pfeiffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin,https://prisonbreak.fandom.com/wiki/Colin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Bodyguard,https://prisonbreak.fandom.com/wiki/Company_Bodyguard,https://static.wikia.nocookie.net/prisonbreak/images/3/3c/177540.jpg/revision/latest/scale-to-width-down/268?cb=20100805181942,,,,Under and Out,,,,,,,,,,,,,,,,,,( unknown actor ),,,,,,Under and Out,,,Alive,,,,,,,,,,
Company Guard,https://prisonbreak.fandom.com/wiki/Company_Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Hitman (I),https://prisonbreak.fandom.com/wiki/Company_Hitman_(I),https://static.wikia.nocookie.net/prisonbreak/images/6/69/Normal_401-949.jpg/revision/latest/scale-to-width-down/268?cb=20100803112337,,1,,,,,,,,Shot by Lincoln Burrows,,,Scylla,,,Male,,,,,4,,,,Scylla,,,,,,,,,,Matt Olmstead,( unknown actor ),Deceased,,,,
Company Hitman (II),https://prisonbreak.fandom.com/wiki/Company_Hitman_(II),https://static.wikia.nocookie.net/prisonbreak/images/8/82/PrisonBreakS04E17REPACKHDTVXviD--33.jpg/revision/latest/scale-to-width-down/268?cb=20100730185401,,,,The Mother Lode,,,,,,,,,,,,,,,,,,,,,,,,The Mother Lode,,,Deceased,,,,,,,,,"Killing a trucker , working for the Company",
Company worker (8),https://prisonbreak.fandom.com/wiki/Company_worker_(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company worker (9),https://prisonbreak.fandom.com/wiki/Company_worker_(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company worker (III),https://prisonbreak.fandom.com/wiki/Company_worker_(III),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Mara,https://prisonbreak.fandom.com/wiki/Conor_Mara,https://static.wikia.nocookie.net/prisonbreak/images/5/59/ConorMara.png/revision/latest/scale-to-width-down/268?cb=20110110155858,,,,,,,,,,,,,,,,,,,,,,Michael Wiseman,,,,,,,,,Alive,,,,,,,,,,
Conrad Dallow,https://prisonbreak.fandom.com/wiki/Conrad_Dallow,https://static.wikia.nocookie.net/prisonbreak/images/6/6c/Prison_Break_4x13_%2825%29.JPG/revision/latest/scale-to-width-down/268?cb=20100418114226,,,,Deal or No Deal,,,,,,,,,,,,,,,,,,,,,,,,Shut Down,,,Alive,,,,,,,,,,
Cooper Green,https://prisonbreak.fandom.com/wiki/Cooper_Green,https://static.wikia.nocookie.net/prisonbreak/images/2/2f/Normal_ep218_207.jpg/revision/latest/scale-to-width-down/268?cb=20100415173954,,,,2x19,,,,,,,,,,,,,,,,,,Kevin Dunn,,,,,,2x18,,,Alive,,,,,,,,,,
Courthouse C.O. (I),https://prisonbreak.fandom.com/wiki/Courthouse_C.O._(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coxsackie Correctional Facility guard,https://prisonbreak.fandom.com/wiki/Coxsackie_Correctional_Facility_guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyote (Season 4),https://prisonbreak.fandom.com/wiki/Coyote_(Season_4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crab Simmons,https://prisonbreak.fandom.com/wiki/Crab_Simmons,https://static.wikia.nocookie.net/prisonbreak/images/4/44/Normal_116-019.jpg/revision/latest/scale-to-width-down/268?cb=20101130123831,,,,Brother's Keeper,,,,,,,,,,,,,,,,,,Tab Baker,,,,,,Brother's Keeper,,,Deceased,,,,,,,,,,
Craig Renner,https://prisonbreak.fandom.com/wiki/Craig_Renner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristobal,https://prisonbreak.fandom.com/wiki/Cristobal,https://static.wikia.nocookie.net/prisonbreak/images/9/9c/Cristobal.jpg/revision/latest/scale-to-width-down/268?cb=20101214154205,,3,,,,,,,,Shot by Lechero,,,Bang and Burn,,,Male,,,,,3,,,,Dirt Nap,,,,,,,Sammy's gang,Sona,,,Rey Gallegos,Deceased,,,,2005
Cross,https://prisonbreak.fandom.com/wiki/Cross,,,2,,,,,,,,,,,The Liar,,,Male,,,,,5,,,,The Prisoner's Dilemma,,,,,,,,Ogygia Prison,,,TJ Ramini,Deceased,,,,
Cyclops,https://prisonbreak.fandom.com/wiki/Cyclops,https://static.wikia.nocookie.net/prisonbreak/images/4/44/Cyclops.jpg/revision/latest/scale-to-width-down/268?cb=20201214173425,,2,,,,,,,,,,,Kaniel Outis,,,Male,,,,,5,,,,,,,,,,,,,,,Amin El Gamal,Unknown,,,,
Cyril Panin,https://prisonbreak.fandom.com/wiki/Cyril_Panin,https://static.wikia.nocookie.net/prisonbreak/images/7/74/Pobeg5.jpg/revision/latest/scale-to-width-down/268?cb=20110206133329,,,,,,,,,,,,,,Unnamed prison,,,,,,,,,,,,,,,,,Alive,,,,,,,,,Escaping prison,
Cyrus,https://prisonbreak.fandom.com/wiki/Cyrus,https://static.wikia.nocookie.net/prisonbreak/images/2/20/Normal_310caps-458.jpg/revision/latest/scale-to-width-down/268?cb=20100803111849,,3,,,,,,,,Shot by Lechero,,,Bang and Burn,,,Male,,,,,3,,,,Dirt Nap,,,,,,,Sammy's gang,Sona,,,,Deceased,,,,"2005 , Sona"
Daddy,https://prisonbreak.fandom.com/wiki/Daddy,https://static.wikia.nocookie.net/prisonbreak/images/8/8a/3440.jpg/revision/latest/scale-to-width-down/268?cb=20100421171420,Michael Scofield,2,,,,,,,,,,,The Old Ball and Chain,,,Female,,,,,The Final Break,,,,Free,,,,,,,,Miami-Dade Penitentiary Women's Facility,,,Lori Petty,Alive,,,,
Daddy's husband,https://prisonbreak.fandom.com/wiki/Daddy%27s_husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy's mother,https://prisonbreak.fandom.com/wiki/Daddy%27s_mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy's wife,https://prisonbreak.fandom.com/wiki/Daddy%27s_wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Hale (Pobeg),https://prisonbreak.fandom.com/wiki/Daniel_Hale_(Pobeg),https://static.wikia.nocookie.net/prisonbreak/images/2/21/PobegHale.jpg/revision/latest?cb=20110219163129,,,,,,,,,,Shot by Paul Kellerman,,,,,,Male,,,,,,,,,,,,,,,,,,,,,Deceased,,,,
Danielle Curtin,https://prisonbreak.fandom.com/wiki/Danielle_Curtin,https://static.wikia.nocookie.net/prisonbreak/images/0/04/Danielle_Curtin.jpg/revision/latest/scale-to-width-down/268?cb=20111203112646,,,,,,,,,,,,,First Down,,,Female,,,,,2,,,,First Down,,,,,,,,,,,Demi Lovato,Alive,,,,
Danny Medina,https://prisonbreak.fandom.com/wiki/Danny_Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius 'Red' Lewis,https://prisonbreak.fandom.com/wiki/Darius_%27Red%27_Lewis,,,,,,,,Male,,Inmate,,,,,,,,,,Maze,,,Myles Bullock,,,,,,,,,Alive,,,,,,,,,,
Darius Morgan,https://prisonbreak.fandom.com/wiki/Darius_Morgan,,,,,,,,,,,,,,,,,,,,,,,Mike Jones,,,,,,,,,Alive,,,,,,,,,,
Darrin Hooks,https://prisonbreak.fandom.com/wiki/Darrin_Hooks,https://static.wikia.nocookie.net/prisonbreak/images/d/d4/3112.jpg/revision/latest/scale-to-width-down/268?cb=20100421171317,,1,,,,,,,,Stabbed by Donald Self,,,Cowboys and Indians,,,Male,,,,,4,,,,Cowboys and Indians,,,,,,,,,,,Ian Bohen,Deceased,,,,2005
Dave Walker,https://prisonbreak.fandom.com/wiki/Dave_Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David ""Tweener"" Apolskis",https://prisonbreak.fandom.com/wiki/David_%22Tweener%22_Apolskis,https://static.wikia.nocookie.net/prisonbreak/images/f/fe/Prison6_des.jpg/revision/latest/scale-to-width-down/268?cb=20100730094509,Unknown,,1986-1987,,,,,,,Shot by Alexander Mahone,,,Tweener,,,Male,,Tweener (by everyone) Vanilla Ice kid (by Manche Sanchez ) Scott Kolbrenner Scott (by Debra Jean Belle ),,,"PB: 1 , 2 , 3 , 4 BK: 1",,,,Going Under,,,,,,,,Fox River,,Paul Scheuring,Lane Garrison David Turba [ 1 ] (Deutsch),Deceased,,,,"June 1, 2005"
David 'Tweener' Apolskis (Pobeg),https://prisonbreak.fandom.com/wiki/David_%27Tweener%27_Apolskis_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Apolskis Sr.,https://prisonbreak.fandom.com/wiki/David_Apolskis_Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Baker,https://prisonbreak.fandom.com/wiki/David_Baker,https://static.wikia.nocookie.net/prisonbreak/images/0/0c/14.JPG/revision/latest/scale-to-width-down/268?cb=20100418173426,,,,The Legend,,,,,,,,,,,,,,,,,,Keith Szarabajka,,,,,,The Legend,,,Alive,,,,,,,,,,
Davis (The Classified FBI Files),https://prisonbreak.fandom.com/wiki/Davis_(The_Classified_FBI_Files),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawn,https://prisonbreak.fandom.com/wiki/Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylor,https://prisonbreak.fandom.com/wiki/Daylor,https://static.wikia.nocookie.net/prisonbreak/images/3/35/DefaultCA51KXGR.jpg/revision/latest?cb=20100507184516,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,Unknown voice actor (English) Unknown voice actor 1 (Deutch) Unknown voice actor 2 (Deutch) Unknown voice actor (French),,,,,,Prison Break - The Conspiracy (Game),,,Alive,,,,,,,,,,
Debbie Myers,https://prisonbreak.fandom.com/wiki/Debbie_Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debra Jean Belle,https://prisonbreak.fandom.com/wiki/Debra_Jean_Belle,https://static.wikia.nocookie.net/prisonbreak/images/a/af/Pb_Debra_Jean_Belle.jpg/revision/latest/scale-to-width-down/268?cb=20070923150145,,,,2x7,,,,,,,,,,,,,,,,,,Kristin Malko,,,,,,2x2,,,Alive,,,,,,,,,,
Dede Franklin,https://prisonbreak.fandom.com/wiki/Dede_Franklin,https://static.wikia.nocookie.net/prisonbreak/images/9/97/Normal_ep203_148.jpg/revision/latest/scale-to-width-down/268?cb=20100426175502,,,,,,,,,,,,,,,,,,,Benjamin Miles Franklin (father) Kacee Franklin (Mother),,,Helena Klevorn,,,,,,,,,Alive,,,,,,,,,,
Dee,https://prisonbreak.fandom.com/wiki/Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degrassi,https://prisonbreak.fandom.com/wiki/Degrassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denise,https://prisonbreak.fandom.com/wiki/Denise,https://static.wikia.nocookie.net/prisonbreak/images/2/24/Normal_prisonbreak_213_079.jpg/revision/latest/scale-to-width-down/268?cb=20100415180542,,,,,,,,,,Killed by Theodore Bagwell,,,The Killing Box,,,Female,,,,,2,,,,The Killing Box,,,,,,,,,,,Sylva Kelegian,Deceased,,,,2005
Derrick Sweeney,https://prisonbreak.fandom.com/wiki/Derrick_Sweeney,https://static.wikia.nocookie.net/prisonbreak/images/d/df/Prson_brk_21.jpg/revision/latest/scale-to-width-down/268?cb=20110219082941,Unknown,2,,,,,,,,,,,The Rat,,,Male,,,,,"1 , 2 , 4",,,,The Price,,2,,,,,,,,Karyn Usher,Karl Makinen,Alive,,,,
Director Elmar,https://prisonbreak.fandom.com/wiki/Director_Elmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirtnap DiMarco,https://prisonbreak.fandom.com/wiki/Dirtnap_DiMarco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor,https://prisonbreak.fandom.com/wiki/Doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Self,https://prisonbreak.fandom.com/wiki/Donald_Self,https://static.wikia.nocookie.net/prisonbreak/images/e/e6/Donald_Self_Season_4.JPG/revision/latest/scale-to-width-down/268?cb=20080907021916,,,,4x22,,,,,,,,,,,,,,,,,,Michael Rapaport,,,,,,4x01,,,Vegetative State,,,,,,,,"Don, Robert Walker",,
Donald Self's wife,https://prisonbreak.fandom.com/wiki/Donald_Self%27s_wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Acadia,https://prisonbreak.fandom.com/wiki/Douglas_Acadia,https://static.wikia.nocookie.net/prisonbreak/images/b/bc/BreakoutKings109-0516.jpg/revision/latest/scale-to-width-down/268?cb=20110507200041,,1,Unknown [ 1 ],,,,,,,Shot by Andre Brennan,,,One for the Money,,,Male,,,,,1,,,,One for the Money,,,,,,,The Big Elvisses,,,Mary Trahan Benjamin Klang,Colin McClean,Deceased,,,,2011
Downey,https://prisonbreak.fandom.com/wiki/Downey,https://static.wikia.nocookie.net/prisonbreak/images/2/2c/PrisonBreakS04E19HDTVXviD-LOLavi111.jpg/revision/latest/scale-to-width-down/268?cb=20100424140122,,6,,,,,,,,Explosion caused by Alexander Mahone,,,The Sunshine State,,,Male,,,,,4,,,,Killing Your Number,,,,,,,,,,,Ted King,Deceased,,,,
Ed Pavelka,https://prisonbreak.fandom.com/wiki/Ed_Pavelka,https://static.wikia.nocookie.net/prisonbreak/images/d/d8/Normal_prisonbreak_213_048.jpg/revision/latest/scale-to-width-down/268?cb=20100415181348,,2,,,,,,,,,,,Otis,,,Male,,,,,2,,,,The Killing Box,,,,,,,Fox River,,,,Brandon Smith,Unknown,,,,
Eduardo,https://prisonbreak.fandom.com/wiki/Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward R. Mahone,https://prisonbreak.fandom.com/wiki/Edward_R._Mahone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine Baker,https://prisonbreak.fandom.com/wiki/Elaine_Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellie Kearman,https://prisonbreak.fandom.com/wiki/Ellie_Kearman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis,https://prisonbreak.fandom.com/wiki/Elvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Morgan,https://prisonbreak.fandom.com/wiki/Emily_Morgan,https://static.wikia.nocookie.net/prisonbreak/images/4/48/PB_0811.jpg/revision/latest/scale-to-width-down/268?cb=20090423135302,,,,,,,,,,,,,,,,,,,Gretchen Morgan (Mother) General Jonathan Krantz (Father) Lisa Tabak (Half-sister) Rita Morgan (Aunt),,,Regan Licciardello,,,,,,Blow Out,,,Alive,,,,,,,,,,
Enzo von Trampo,https://prisonbreak.fandom.com/wiki/Enzo_von_Trampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Krause,https://prisonbreak.fandom.com/wiki/Eric_Krause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica Reed's daughter,https://prisonbreak.fandom.com/wiki/Erica_Reed%27s_daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica Reed's father,https://prisonbreak.fandom.com/wiki/Erica_Reed%27s_father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Stammel,https://prisonbreak.fandom.com/wiki/Erik_Stammel,https://static.wikia.nocookie.net/prisonbreak/images/9/9e/Normal_ep218_092.jpg/revision/latest/scale-to-width-down/268?cb=20100415173723,,1,,,,,,,,Beaten to death by Theodore Bagwell,,,Wash,,,Male,,,,,2,,,,Wash,,,,,,,,,,,Brian Nicholas,Deceased,,,,
Erin Taber,https://prisonbreak.fandom.com/wiki/Erin_Taber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Hemingway,https://prisonbreak.fandom.com/wiki/Ernest_Hemingway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernesto,https://prisonbreak.fandom.com/wiki/Ernesto,https://static.wikia.nocookie.net/prisonbreak/images/e/ef/Normal_ep211_218.jpg/revision/latest/scale-to-width-down/268?cb=20110414183325,,,,Prison Break - The Classified FBI Files,,,,,,,,,,,,,,,,,,Rey Hernandez [ 2 ],,,,,,Disconnect,,,Alive,,,,,,,,Coyote's cousin [ 1 ],Working for Pedro Ramos with illegal events,
Erol Tabak,https://prisonbreak.fandom.com/wiki/Erol_Tabak,https://static.wikia.nocookie.net/prisonbreak/images/f/fd/Vlcsnap-14473.png/revision/latest/scale-to-width-down/268?cb=20081028113715,,1,,,,,,,,,,,Eagles and Angels,,,Male,,,,,4,,,,Eagles and Angels,,,,,,,,,,Karyn Usher,Mark Newsom,Alive,,,,
Escamilla,https://prisonbreak.fandom.com/wiki/Escamilla,https://static.wikia.nocookie.net/prisonbreak/images/1/18/Escamilla.jpg/revision/latest/scale-to-width-down/268?cb=20101224100716,,4,,,,,,,,,,,Fire/Water,,,Male,,Colonel,,,3,,,,,,1 [ 1 ],,,,,,,,,Carlos Compeon,Alive,,,,
Eugenia Campbell,https://prisonbreak.fandom.com/wiki/Eugenia_Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Bol,https://prisonbreak.fandom.com/wiki/Eva_Bol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father McDougal,https://prisonbreak.fandom.com/wiki/Father_McDougal,https://static.wikia.nocookie.net/prisonbreak/images/5/58/Brent-vs-priest.jpg/revision/latest/scale-to-width-down/267?cb=20120320153227,,1,,,,,,,,Beaten to death by Brent Howson,,,An Unjust Death,,,Male,,,,,2,,,,An Unjust Death,,,,,,,,,,,Ray Gaspard,Deceased,,,,2011 or 2012
Felicia Lang,https://prisonbreak.fandom.com/wiki/Felicia_Lang,https://static.wikia.nocookie.net/prisonbreak/images/4/4d/PB_4x22_102.jpg/revision/latest/scale-to-width-down/268?cb=20120411210432,,,,Free,,,Female,,,,,,,,40’s,,,,Alexander Mahone (love interest),,,Barbara Eve Harris,,,,,,Scan,,,Alive,,,,,,,Black,Lang (by fellow agents),,
Felicia Lang's father,https://prisonbreak.fandom.com/wiki/Felicia_Lang%27s_father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feng Huan,https://prisonbreak.fandom.com/wiki/Feng_Huan,https://static.wikia.nocookie.net/prisonbreak/images/3/3d/Normal_404-764.jpg/revision/latest/scale-to-width-down/268?cb=20100408180505,,,,Deal or No Deal,,,Male,,,,,,,,30’s,,,,,Shot to death by Miriam Holtz,,Ron Yuan,,,,,,Eagles and Angels,2005,,Deceased,,,,,,,Black,,,
