index,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
362,Howd Wanderer,Wildling,,,,58.0,1,1,0,0,0,0,1
363,Hubard Rambton,Baratheon,299.0,5.0,10.0,10.0,1,1,0,1,0,0,0
364,Hugh,House Arryn,298.0,1.0,29.0,25.0,1,0,1,0,0,0,0
365,Hugo Vance,Tully,,,,30.0,1,1,0,0,0,1,0
366,Hullen,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0
367,Humfrey Swyft,Lannister,,,,16.0,1,1,0,0,0,1,0
368,Husband,None,,,,11.0,1,0,0,0,1,0,0
369,Hyle Hunt,None,300.0,4.0,42.0,14.0,1,1,0,0,0,1,0
370,Iggo,None,299.0,3.0,3.0,3.0,1,0,0,0,1,0,0
371,Illyrio Mopatis,House Targaryen,,,,3.0,1,1,1,0,0,0,1
372,Ilyn Payne,Lannister,,,,15.0,1,1,1,1,1,1,0
373,Imry Florent,Baratheon,299.0,3.0,4.0,58.0,1,1,0,1,1,0,0
374,Iron Emmett,Night's Watch,,,,79.0,1,0,0,0,1,0,1
375,Irri,House Targaryen,,,,11.0,0,0,1,1,1,0,1
376,Ithoke,None,,,,11.0,1,0,0,0,0,0,1
377,Jacelyn Bywater,Lannister,299.0,2.0,19.0,8.0,0,1,0,1,0,0,0
378,Jack Bulwer,Night's Watch,300.0,5.0,31.0,64.0,1,0,0,0,1,1,1
379,Jack-Be-Lucky,None,,,,17.0,1,0,0,0,1,1,0
380,Jacks,House Stark,,,,22.0,1,0,1,1,0,0,0
381,Jaggot,None,,,,42.0,1,0,1,0,0,0,0
382,Jaime Lannister,Lannister,,,,5.0,1,1,1,1,1,1,1
383,Jalabhar Xho,None,,,,29.0,1,1,1,1,1,1,0
384,Janna Tyrell,Tyrell,,,,6.0,0,1,0,0,1,1,0
385,Janos Slynt,None,300.0,5.0,7.0,27.0,1,1,1,1,1,0,1
386,Jaqen H'ghar,None,,,,5.0,1,0,0,1,0,1,0
387,Jared Frey,None,300.0,5.0,37.0,59.0,1,1,1,1,0,0,1
388,Jaremy Rykker,Night's Watch,298.0,5.0,60.0,21.0,1,1,1,0,0,0,0
389,Jarl,Wildling,299.0,3.0,26.0,7.0,1,0,0,0,1,0,0
390,Jarman Buckwell,Night's Watch,300.0,5.0,21.0,13.0,1,0,0,1,0,0,1
391,Jason Mallister,Stark,,,,28.0,1,1,1,0,1,0,0
392,Jate,House Lannister,,4.0,44.0,44.0,1,0,0,0,0,1,0
393,Jate Blackberry,House Baratheon,,3.0,10.0,10.0,1,0,0,0,1,0,0
394,Jeor Mormont,Night's Watch,299.0,3.0,33.0,48.0,1,1,1,1,1,0,0
395,Jeren,Night's Watch,,,,19.0,1,0,1,0,0,0,0
396,Jeyne Poole,Stark,,,,7.0,0,1,1,0,1,0,1
397,Jeyne Westerling,Stark,,,,14.0,0,1,0,0,1,1,0
398,Jhaqo,None,,,,68.0,1,1,1,0,0,0,1
399,Jhezane,None,,,,2.0,0,1,0,0,0,0,1
400,Jhiqui,House Targaryen,,,,11.0,0,0,1,1,1,0,1
401,Jhogo,House Targaryen,,,,23.0,1,0,1,1,1,0,1
402,Jocelyn Swyft,Lannister,,,,3.0,0,1,0,0,0,1,1
403,Jodge,House Lannister,,,,30.0,1,0,0,1,0,0,0
404,Jojen Reed,Stark,,,,21.0,1,1,0,1,1,0,1
405,Jommy,House Baratheon,,,,0.0,1,0,0,1,0,0,0
406,Jon Bettley,Lannister,,,,16.0,1,1,0,0,0,1,0
407,Jon Connington,Targaryen,,,,5.0,1,1,0,0,0,0,1
408,Jon Fossoway,Baratheon,,,,22.0,1,1,0,1,0,0,0
409,Jon Snow,Night's Watch,,,,1.0,1,1,1,1,1,1,1
410,Jon Umber (Greatjon),Stark,,,,51.0,1,1,1,1,1,0,0
411,Joffrey Baratheon,House Lannister,300.0,3.0,60.0,5.0,1,1,1,1,1,0,0
412,Jon Umber (Smalljon),Stark,299.0,3.0,51.0,63.0,1,1,1,0,1,0,0
413,Jonelle Cerwyn,Stark,,,,53.0,0,1,1,0,0,0,0
414,Jonos Bracken,Tully,,,,28.0,1,1,1,0,1,0,1
415,Jorah Mormont,Targaryen,,,,23.0,1,1,1,1,1,0,1
416,Jory Cassel,Stark,298.0,1.0,35.0,1.0,1,1,1,0,0,0,0
417,Joseran,Greyjoy,,,,11.0,1,0,0,0,0,1,0
418,Joseth,House Stark,,,,37.0,1,0,1,1,0,0,0
419,Josmyn Peckledon,Lannister,,,,65.0,1,0,0,1,1,1,1
420,Joss,None,,,,43.0,1,0,1,0,0,0,0
421,Joss Stilwood,Lannister,,,,,1,0,1,0,0,0,0
422,Josua Willum,Baratheon,,,,22.0,1,1,0,1,0,0,0
423,Jothos Slynt,Lannister,,,,66.0,1,1,0,0,1,0,0
424,Joyeuse Erenford,None,,,,28.0,0,1,1,0,1,0,0
425,Justin Massey,Baratheon,,,,7.0,1,1,0,0,0,0,1
426,Jyck,House Lannister,298.0,1.0,31.0,21.0,1,0,1,0,0,0,0
427,Jynessa Blackmont,Martell,,,,38.0,0,1,0,0,1,0,0
428,Karyl Vance,Tully,,,,43.0,1,1,1,0,1,1,0
429,Kedge Whiteye,Night's Watch,,,,43.0,1,0,0,1,1,1,0
430,Kella,None,,,,68.0,0,0,0,0,1,0,0
431,Kennos of Kayce,Lannister,,,,6.0,1,1,0,0,1,1,1
432,Ketter,Night's Watch,,,,52.0,1,0,1,0,0,0,0
433,Kenned,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
434,Kerwin,House Tyrell,300.0,5.0,56.0,29.0,1,0,0,0,0,1,1
435,Kevan Lannister,House Lannister,300.0,5.0,,56.0,1,1,1,1,1,1,1
436,Kezmya,None,,,,2.0,0,1,0,0,0,0,1
437,Khorane Sathmantes,None,,,,10.0,1,0,0,0,1,0,0
438,Khrazz,None,300.0,5.0,67.0,11.0,1,0,0,0,0,0,1
439,Kindly man,None,,,,6.0,1,0,0,0,0,1,1
440,Kojja Mo,None,,,,35.0,0,0,0,0,0,1,0
441,Koss,Night's Watch,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
442,Kraznys mo Nakloz,None,299.0,3.0,27.0,23.0,1,1,0,0,1,0,0
443,Kromm,House Greyjoy,299.0,2.0,66.0,56.0,1,0,0,1,0,0,0
444,Kurleket,None,298.0,1.0,31.0,31.0,1,0,1,0,0,0,0
445,Kurz,Night's Watch,299.0,2.0,19.0,5.0,1,0,0,1,0,0,0
446,Kyle (Banners),None,299.0,3.0,39.0,39.0,1,0,0,0,1,0,0
447,Kyra,House Stark,300.0,5.0,12.0,37.0,0,0,1,1,0,0,1
448,Lady of the Leaves,None,,,,22.0,0,0,0,0,1,0,0
449,Lambert Turnberry,Lannister,,,,7.0,1,1,0,0,0,1,0
450,Lamprey,Baratheon,,,,25.0,1,0,0,0,1,0,0
451,Lancel Lannister,Lannister,,,,47.0,1,1,1,1,1,1,1
452,Lanna (Happy Port),None,,,,34.0,0,0,0,0,0,1,0
453,Lark,Night's Watch,299.0,3.0,46.0,23.0,1,0,0,1,1,0,0
454,Larra Blackmont,Martell,,,,38.0,0,1,0,0,1,0,0
455,Larraq,Targaryen,,,,59.0,1,0,0,0,0,0,1
456,Leathers,Night's Watch,,,,35.0,1,0,0,0,0,0,1
457,Left Hand Lew,Night's Watch,,,,48.0,1,0,0,0,1,0,1
458,Lem,None,,,,13.0,1,0,0,0,1,1,0
459,Lennocks,None,,,34.0,34.0,1,0,0,0,1,0,0
460,Lenwood Tawney,Greyjoy,,,,18.0,1,0,0,0,0,1,0
461,Leo Lefford,Lannister,299.0,2.0,45.0,62.0,1,1,1,1,0,0,0
462,Leo Tyrell,Tyrell,,,,0.0,1,1,0,0,0,1,0
463,Leobald Tallhart,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
464,Leona Woolfield,Stark,,,,19.0,0,1,0,0,0,0,1
465,Leonette Fossoway,Tyrell,,,,6.0,0,1,0,0,1,0,0
466,Lew,House Stark,,,,7.0,1,0,1,0,0,0,0
467,Lewis Lanster,None,,,,25.0,1,0,0,0,0,0,1
468,Lewys Lydden,Lannister,,,,62.0,1,1,1,1,0,0,0
469,Lewys Piper,Lannister,,,,27.0,1,1,0,0,0,1,0
470,Lharys,Stark,298.0,1.0,34.0,31.0,1,1,1,0,0,0,0
471,Little Walder Frey,None,300.0,5.0,51.0,59.0,1,1,1,1,0,0,1
472,Lollys Stokeworth,Lannister,,,,2.0,0,1,0,1,1,0,0
473,Lommy,Night's Watch,299.0,2.0,19.0,1.0,1,0,0,1,0,0,0
474,Loras Tyrell,Tyrell,,,,18.0,1,1,1,1,1,1,0
475,Lorcas,None,,,,45.0,1,0,0,0,0,1,0
476,Lord of Bones,Wildling,300.0,5.0,10.0,68.0,1,1,0,1,1,0,1
477,Lorent Caswell,Baratheon,,,,22.0,1,1,0,1,0,0,0
478,Lorren,Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
479,Lothar Frey,None,,,,35.0,1,1,0,0,1,0,0
480,Lothor Brune,None,,,,29.0,1,1,1,1,1,1,0
481,Lucan,None,299.0,2.0,64.0,38.0,1,0,0,1,0,0,0
482,Lucas Blackwood,Tully,299.0,3.0,51.0,22.0,1,1,0,1,1,0,0
483,Lucas Codd,Greyjoy,,,,11.0,1,1,0,0,0,1,0
484,Lucias Vypren,None,,,,49.0,1,1,0,0,1,0,0
485,Luco Prestayn,None,,,,22.0,1,0,0,0,0,1,0
486,Luke of Longtown,Night's Watch,,,,35.0,1,0,0,0,0,0,1
487,Luton,None,300.0,5.0,51.0,37.0,1,0,0,0,0,0,1
488,Luwin,House Stark,299.0,2.0,69.0,14.0,1,0,1,1,0,0,0
489,Lyle Crakehall,Lannister,,,,12.0,1,1,0,0,0,1,0
490,Lyman Darry,Tully,299.0,3.0,7.0,71.0,1,1,1,1,0,0,0
491,Lymond Goodbrook,Tully,,,,45.0,1,1,0,0,1,0,0
492,Lymond Lychester,Tully,,,,22.0,1,1,0,0,1,0,0
493,Lyn Corbray,Arryn,,,,38.0,1,1,1,0,0,1,0
494,Lyonel,None,,,,38.0,1,0,0,1,0,0,0
495,Lysa Tully,House Arryn,300.0,3.0,,34.0,0,1,1,0,1,0,0
496,Lysono Maar,None,,,,24.0,1,0,0,0,0,0,1
497,Mace Tyrell,House Tyrell,,,,62.0,1,1,0,1,1,1,1
498,Mad Huntsman,None,,,,29.0,1,0,0,0,1,0,0
499,Maege Mormont,Stark,,,,53.0,0,1,1,0,1,0,0
500,Maerie (Goodwife),None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
501,Maerie (Whore),None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
502,Mag Mar Tun Doh Weg,Wildling,300.0,3.0,64.0,15.0,1,1,0,0,1,0,0
503,Mago,None,,,,61.0,1,0,1,0,0,0,0
504,Mallador Locke,Night's Watch,299.0,5.0,18.0,13.0,1,0,0,1,1,0,0
505,Malliard,Lannister,,,,20.0,1,0,0,1,0,0,0
506,Mallor,House Lannister,,,,63.0,1,0,1,0,0,0,0
507,Mance Rayder,Wildling,,,,15.0,1,1,0,0,1,0,1
508,Mandon Moore,Baratheon,299.0,2.0,61.0,51.0,1,1,1,1,0,0,0
509,Maric Seaworth,House Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
510,Marei,None,,,,29.0,0,0,0,1,0,0,0
511,Margaery Tyrell,House Tyrell,,,,22.0,0,1,0,1,1,1,0
512,Marillion,Arryn,300.0,4.0,23.0,28.0,1,0,1,0,1,1,0
513,Maris,Wildling,,,,58.0,0,0,0,0,0,0,1
514,Marissa Frey,None,,,,49.0,0,1,0,0,1,1,0
515,Mariya Darry,None,,,,30.0,0,1,0,0,0,1,0
516,Mark Mullendore,Tully,,,,22.0,1,1,0,1,0,0,0
517,Marlon Manderly,Stark,,,,19.0,1,1,0,0,0,0,1
518,Maron Volmark,Greyjoy,,,,18.0,1,1,0,0,0,1,0
519,Marq Piper,Tully,,,,56.0,1,1,1,0,1,0,0
520,Martyn Rivers,None,,,,29.0,1,1,1,1,1,0,0
521,Marwyn,None,,,,0.0,1,0,0,0,0,1,0
522,Marwyn Belmore,Arryn,,,,10.0,1,1,0,0,0,1,0
523,Masha Heddle,Tully,298.0,1.0,56.0,28.0,0,0,1,0,0,0,0
524,Maslyn,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
525,Mathis Rowan,Lannister,,,,22.0,1,1,0,1,1,1,0
526,Mathos Mallarawan,None,,,,40.0,1,1,0,1,0,0,0
527,Matrice,Baratheon,,,,0.0,0,0,0,1,0,0,0
528,Matthos Seaworth,Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
529,Matthar,Night's Watch,,,,41.0,1,0,1,0,0,0,0
530,Mawney,Night's Watch,300.0,5.0,4.0,18.0,1,0,0,0,1,0,1
531,Mebble,None,,,,47.0,1,0,0,1,0,0,0
532,Medger Cerwyn,Stark,299.0,2.0,30.0,53.0,1,1,1,1,0,0,0
533,Meera Reed,Stark,,,,21.0,0,1,0,1,1,0,1
534,Megga Tyrell,House Tyrell,,,,6.0,0,1,0,0,1,1,0
535,Meha,Wildling,,,,0.0,0,0,0,0,0,0,1
536,Mela,House Arryn,,,,23.0,0,0,0,0,0,1,0
537,Meldred Merlyn,Greyjoy,,,,1.0,1,1,0,0,0,1,0
538,Meliana,Stark,,,,69.0,0,0,0,0,1,0,0
539,Melisandre,Baratheon,,,,0.0,0,0,0,1,1,0,1
540,Mellei,House Martell,,,,40.0,0,0,0,0,0,1,0
541,Melly,None,,,,34.0,0,0,0,0,1,0,0
542,Meredyth Crane,Tyrell,,,,61.0,0,1,0,0,1,1,0
543,Meribald,None,,,,25.0,1,0,0,0,0,1,0
544,Merlon Crakehall,Lannister,,,,38.0,1,1,0,0,1,0,0
545,Mero,None,299.0,3.0,57.0,42.0,1,0,0,0,1,0,0
546,Merrett Frey,None,300.0,3.0,,59.0,1,1,1,0,1,0,0
547,Meryn Trant,Lannister,,,,8.0,1,1,1,1,1,1,1
548,Mezzara,None,,,,2.0,0,1,0,0,0,0,1
549,Mikken,House Stark,299.0,2.0,46.0,8.0,1,0,1,1,0,0,0
550,Miklaz,None,,,,2.0,1,1,0,0,0,0,1
551,Mirri Maz Duur,None,299.0,1.0,72.0,61.0,0,0,1,0,0,0,0
552,Missandei,House Targaryen,,,,23.0,0,0,0,0,1,0,1
553,Mohor,None,298.0,1.0,31.0,31.0,1,1,1,0,0,0,0
554,Mollander,None,,,,0.0,1,0,0,0,0,1,0
555,Monford Velaryon,Baratheon,299.0,3.0,25.0,0.0,1,1,0,1,0,0,0
556,Monster,Wildling,,,,33.0,1,0,0,0,1,1,1
557,Moon Boy,Baratheon,,,,29.0,1,0,1,1,1,1,0
558,Moqorro,Greyjoy,,,,33.0,1,0,0,0,0,0,1
559,Mord,House Arryn,,,,38.0,1,0,1,0,0,1,0
560,Mordane,House Stark,298.0,1.0,67.0,7.0,0,0,1,0,0,0,0
561,Moreo Tumitis,None,,,,18.0,1,0,1,0,0,0,0
562,Morgarth,None,,,,41.0,1,0,0,0,0,1,0
563,Morna White Mask,Wildling,,,,48.0,0,1,0,0,0,0,1
564,Moro,None,,,,3.0,1,1,1,0,0,0,0
565,Morra,House Martell,,,,40.0,0,0,0,0,0,1,0
566,Morrec,House Lannister,298.0,1.0,31.0,13.0,1,0,1,0,0,0,0
567,Morros Slynt,Lannister,,,,2.0,1,1,0,1,1,0,0
568,Mors Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0
569,Mors Umber,Stark,,,,21.0,1,1,0,1,0,0,0
570,Morton Waynwood,Arryn,,,,40.0,1,1,1,0,0,0,0
571,Mudge (miller),None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
572,Mully,Night's Watch,,,,55.0,1,0,0,0,1,1,1
573,Munciter,Lannister,,,,20.0,1,0,0,1,0,0,0
574,Murch,Night's Watch,,,,9.0,1,0,0,1,0,0,0
575,Murch (Winterfell),House Stark,,,,50.0,1,0,0,1,0,0,0
576,Mossador,House Targaryen,300.0,5.0,11.0,11.0,1,0,0,0,1,0,1
577,Murenmure,Greyjoy,,,,1.0,1,0,0,0,0,1,0
578,Muttering Bill,Night's Watch,300.0,5.0,4.0,,1,0,0,0,1,0,1
579,Mya Stone,Arryn,,,,34.0,0,0,1,0,0,1,0
580,Mycah,Stark,298.0,1.0,16.0,15.0,1,0,1,0,0,0,0
581,Myles,House Martell,,,,2.0,1,0,0,0,0,1,1
582,Myles Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0
583,Myranda Royce,Arryn,,,,41.0,0,1,0,0,0,1,0
584,Myrcella Baratheon,Lannister,,,,5.0,0,1,1,1,0,1,0
585,Myria Jordayne,Martell,,,,38.0,0,0,0,0,1,0,1
586,Myrtle,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
587,Nage,None,,,,44.0,1,0,0,0,1,0,0
588,Myles,House Tully,299.0,2.0,39.0,39.0,1,0,0,1,0,0,0
589,Nan,House Stark,,,,1.0,0,0,1,1,0,0,0
590,Narbert,None,,,,31.0,1,0,0,0,0,1,0
591,Nestor Royce,Arryn,,,,34.0,1,1,1,0,0,1,0
592,Nolla,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
593,Norjen,Greyjoy,,,,1.0,1,0,0,0,0,1,0
594,Nurse,None,300.0,5.0,57.0,57.0,1,0,0,0,0,0,1
595,Notch,None,,,,43.0,1,0,0,0,1,0,0
596,Nute,House Greyjoy,,,,18.0,1,0,0,0,0,1,0
597,Nymella Toland,Martell,,,,38.0,0,1,0,0,0,0,1
598,Nymeria Sand,House Martell,,,,2.0,0,1,0,0,0,1,1
599,Obara Sand,House Martell,,,,2.0,0,1,0,0,0,1,1
600,Oberyn Martell,House Martell,300.0,3.0,70.0,38.0,1,1,0,0,1,0,0
601,Ogo,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
602,Old Henly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
603,Olenna Redwyne,Tyrell,,,,19.0,0,1,0,0,1,1,0
604,Ollo Lophand,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
605,Olyvar Frey,None,,,,59.0,1,1,1,0,0,0,0
606,Ondrew Locke,Stark,,,,37.0,1,1,0,0,0,0,1
607,Oppo,None,300.0,4.0,17.0,60.0,1,0,0,0,1,1,0
608,Orell,Wildling,299.0,2.0,51.0,51.0,1,0,0,1,0,0,0
609,Orphan Oss,Night's Watch,300.0,5.0,4.0,,1,0,0,0,1,0,1
610,Orton Merryweather,Lannister,,,,11.0,1,1,0,0,1,1,0
611,Osfryd Kettleblack,Lannister,,,,41.0,1,1,0,1,1,1,0
612,Osha,House Stark,,,,37.0,0,0,1,1,0,0,0
613,Osmund Kettleblack,Lannister,,,,41.0,1,1,0,1,1,1,0
614,Osney Kettleblack,Lannister,,,,41.0,1,1,0,1,1,1,0
615,Ossy,Arryn,,,,41.0,1,0,0,0,0,1,0
616,Oswell Kettleblack,None,,,,68.0,1,1,0,0,1,0,0
617,Othell Yarwyck,Night's Watch,,,,48.0,1,0,1,0,1,0,1
618,Ottyn Wythers,Night's Watch,299.0,3.0,48.0,13.0,1,0,0,1,1,0,0
619,Owen,Night's Watch,,,,55.0,1,0,0,0,1,0,1
620,Owen Norrey,Tully,299.0,3.0,51.0,51.0,1,1,0,0,1,0,0
621,Oznak zo Pahl,None,299.0,3.0,57.0,57.0,1,1,0,0,1,0,0
622,Palla,House Stark,,,,46.0,0,0,0,1,0,0,0
623,Parmen Crane,Baratheon,,,,22.0,1,1,0,1,0,0,0
624,Patchface,Baratheon,,,,0.0,1,0,0,1,1,0,1
625,Pate (novice),None,300.0,4.0,0.0,0.0,1,0,0,0,0,1,0
626,Pate (Lancewood),None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
627,Pate (Night's Watch),Night's Watch,,,,60.0,1,0,1,0,0,0,0
628,Pate (Old),None,,,34.0,13.0,1,0,0,0,1,0,0
629,Patrek of King's Mountain,Baratheon,300.0,5.0,69.0,44.0,1,1,0,0,0,0,1
630,Patrek Mallister,Tully,,,,28.0,1,1,1,0,1,0,0
631,Paxter Redwyne,Tyrell,,,,65.0,1,1,0,1,1,1,0
632,Pello,None,,,,17.0,1,0,0,0,1,0,0
633,Penny,None,,,,60.0,0,0,0,0,1,0,1
634,Perros Blackmont,Martell,,,,38.0,1,1,0,0,1,0,0
635,Perwyn Frey,None,,,,29.0,1,1,1,1,0,0,0
636,Petyr Baelish,None,,,,18.0,1,0,1,1,1,1,0
637,Petyr Frey,None,300.0,3.0,,49.0,1,1,0,0,1,0,0
638,Philip Foote,Lannister,,,,65.0,1,1,0,1,1,0,0
639,Pia,None,,,,30.0,0,0,0,1,0,1,0
640,Podrick Payne,Lannister,,,,62.0,1,1,1,1,1,1,0
641,Polliver,None,300.0,3.0,27.0,26.0,1,0,0,1,1,0,0
642,Pono,None,,,,68.0,1,1,1,0,0,0,0
643,Porridge,Baratheon,,,,25.0,1,0,0,0,1,0,0
644,Porther,House Stark,299.0,2.0,21.0,22.0,1,0,1,1,0,0,0
645,Poul Pemford,House Tully,299.0,2.0,39.0,39.0,1,0,0,1,0,0,0
646,Poxy Tym,House Stark,299.0,2.0,69.0,16.0,1,0,0,1,0,0,0
647,Praed,None,299.0,2.0,9.0,5.0,1,0,0,1,0,0,0
648,Prendahl na Ghezn,None,299.0,3.0,42.0,42.0,1,0,0,0,1,0,0
649,Preston Greenfield,Baratheon,299.0,2.0,41.0,43.0,1,0,1,1,0,0,0
650,Pyat Pree,None,,,,12.0,1,1,0,1,0,0,0
651,Pycelle,House Lannister,300.0,5.0,,20.0,1,0,1,1,1,1,1
652,Pyg,None,300.0,4.0,20.0,20.0,1,0,0,0,1,1,0
653,Pylos,Baratheon,,,,0.0,1,0,0,1,1,0,0
654,Pypar,Night's Watch,,,,19.0,1,0,1,0,1,1,1
655,Qarl Shepherd,Greyjoy,,,,26.0,1,0,0,0,0,0,1
656,Qarl the Maid,Greyjoy,,,,42.0,1,0,0,1,0,1,1
657,Qezza,None,,,,2.0,0,0,0,0,0,0,1
658,Qhorin Halfhand,Night's Watch,299.0,2.0,68.0,43.0,1,0,0,1,0,0,0
659,Qotho,None,298.0,1.0,61.0,11.0,1,0,1,0,0,0,0
660,Quaithe,None,,,,12.0,0,1,0,1,1,0,1
661,Quaro,Targaryen,298.0,1.0,64.0,50.0,1,0,1,0,0,0,0
662,Quellon Humble,Greyjoy,,,,18.0,1,1,0,0,0,1,0
663,Quent,House Stark,,,,37.0,1,0,1,0,0,0,0
664,Quenten Banefort,Lannister,,,,16.0,1,1,0,0,0,1,0
665,Quentyn Martell,Martell,300.0,5.0,70.0,6.0,1,1,0,0,0,0,1
666,Quhuru Mo,None,,,,27.0,1,0,0,1,0,1,0
667,Qyburn,Lannister,,,,64.0,1,0,0,1,1,1,1
668,Quort,Wildling,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
669,Qyle,Night's Watch,299.0,2.0,2.0,2.0,1,0,0,1,0,0,0
670,Rafford,None,,,,19.0,1,0,0,1,0,1,0
671,Ragnor Pyke,House Greyjoy,,,,29.0,1,0,0,0,0,1,0
672,Ragwyle,Wildling,,,,68.0,0,0,0,1,0,0,0
673,Rakharo,House Targaryen,,,,54.0,1,0,1,1,1,0,1
674,Ralf Kenning,Greyjoy,300.0,5.0,20.0,18.0,1,0,0,0,0,1,1
675,Ralf Stonehouse,Greyjoy,,,,18.0,1,1,0,0,0,0,1
676,Ralf the Limper,Greyjoy,,,,18.0,1,0,0,0,0,1,1
677,Ramsay Snow,None,,,,16.0,1,1,0,1,0,0,1
678,Randa,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
679,Randyll Tarly,Tyrell,,,,22.0,1,1,0,1,0,1,1
680,Rast,Night's Watch,299.0,3.0,26.0,55.0,1,0,1,0,1,0,0
681,Ravella Swann,Tully,,,,22.0,0,1,0,0,1,0,0
682,Raymar Royce,Arryn,,,,45.0,1,1,0,0,1,0,0
683,Raymun Darry,Targaryen,298.0,1.0,55.0,16.0,1,1,1,0,0,0,0
684,Raymund Frey,None,,,,49.0,1,1,0,0,1,0,0
685,Raynald Westerling,Stark,299.0,3.0,44.0,14.0,1,1,0,0,1,1,0
686,Red Alyn,Night's Watch,300.0,3.0,69.0,55.0,1,0,0,0,1,0,0
687,Red Rolfe,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
688,Reek,None,299.0,2.0,35.0,16.0,1,0,0,1,0,0,0
689,Renly Baratheon,House Baratheon,299.0,2.0,33.0,15.0,1,1,1,1,0,0,0
690,Reysen,Night's Watch,,,,5.0,1,0,0,1,0,0,0
691,Reznak mo Reznak,None,,,,2.0,1,1,0,0,0,0,1
692,Rhaegar Frey,None,300.0,5.0,29.0,19.0,1,1,0,0,0,0,1
693,Rhogoro,None,,,,3.0,1,1,1,0,0,0,0
694,Ricasso,House Martell,,,,2.0,1,0,0,0,0,1,1
695,Richard Horpe,Baratheon,,,,17.0,1,1,0,0,0,0,1
696,Rickard Karstark,Stark,299.0,3.0,20.0,53.0,1,1,1,1,1,0,0
697,Rickard Ryswell,Stark,,,,20.0,1,1,0,0,0,0,1
698,Rickon Stark,House Stark,,,,7.0,1,1,1,1,0,0,0
699,Rigney,None,,,,11.0,1,0,0,0,0,1,0
700,Robar Royce,Baratheon,299.0,2.0,6.0,29.0,1,1,1,1,1,0,0
701,Robb Stark,House Stark,299.0,3.0,51.0,1.0,1,1,1,1,1,0,0
702,Robert Baratheon,House Baratheon,298.0,1.0,47.0,4.0,1,1,1,0,0,0,0
703,Robert Arryn,House Arryn,,,,40.0,1,1,1,0,1,1,0
704,Robett Glover,Stark,,,,53.0,1,1,1,1,0,0,1
705,Robin Flint,Stark,299.0,3.0,51.0,63.0,1,1,1,1,1,0,0
706,Robin Moreland,Lannister,,,,16.0,1,1,0,0,0,1,0
707,Robin Ryger,Tully,,,,7.0,1,1,0,1,1,1,0
708,Rodrik Cassel,Stark,299.0,2.0,66.0,7.0,1,1,1,1,0,0,0
709,Rodrik Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
710,Rodrik Ryswell,None,,,,32.0,1,1,0,0,0,0,1
711,Roger Hogg,Lannister,,,,27.0,1,1,0,0,0,1,0
712,Roger Ryswell,Stark,,,,20.0,1,1,0,0,0,0,1
713,Roland Crakehall (Lord),Lannister,,,,32.0,1,1,0,1,0,0,0
714,Rolder,House Lannister,,,,21.0,1,0,0,0,0,1,0
715,Rolfe,Greyjoy,,,,24.0,1,0,0,1,0,0,0
716,Rollam Westerling,Stark,,,,14.0,1,1,0,0,1,0,0
717,Rolfe the Dwarf,House Greyjoy,300.0,5.0,26.0,26.0,1,0,0,0,0,0,1
718,Rolley,Night's Watch,299.0,3.0,33.0,0.0,1,0,0,0,1,0,0
719,Rolly Duckfield,Targaryen,,,,8.0,1,0,0,0,0,0,1
720,Rolph Spicer,Lannister,,,,14.0,1,1,0,0,1,0,0
721,Romny Weaver,Greyjoy,,,,18.0,1,1,0,0,0,1,0
722,Ronald Storm,None,,,,61.0,1,0,0,0,0,0,1
723,Ronnel Harclay,Night's Watch,,,,48.0,1,1,0,0,1,0,0
724,Ronnet Connington,Baratheon,,,,22.0,1,1,0,1,0,1,1
725,Roose Bolton,Stark,,,,33.0,1,1,1,1,1,0,1
726,Roose Ryswell,None,,,,32.0,1,1,0,0,0,0,1
727,Rorge,None,300.0,4.0,37.0,1.0,1,0,0,1,1,1,0
