Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
"Cole, Kaplan, Muir, and Fuji","https://the100.fandom.com/wiki/Cole,_Kaplan,_Muir,_and_Fuji",https://static.wikia.nocookie.net/thehundred/images/4/4f/Earth_Skills_079_%28Abby%2C_Kane_and_Jaha%29.png/revision/latest/scale-to-width-down/268?cb=20160830151853,Earth Skills,The Ark,Unity Day Bombing,Councilor,Unity Day,Deceased,,One,Cuyler Ridley Diana Sydney,Freda Perry (Council Member #1) Catherine Lough-Haggquist (Council Member #1) Sharon Taylor (Council Member #2) Hiro Kanagawa (Council Member #3) Bill Marchant (Senior Council Member),320 Arkers in the Culling (indirectly),"2 male, 2 female",Council members,Sky People,,
Cole McAdams,https://the100.fandom.com/wiki/Cole_McAdams,https://static.wikia.nocookie.net/thehundred/images/9/9b/3x07_Cole_McAdams.png/revision/latest/scale-to-width-down/268?cb=20160304233230,Thirteen,Earth,Destruction of Polaris,,Thirteen,Deceased,,Three,Alpha Station Becca (indirectly and unintentionally),Roger Cross,,Male,Polaris Commander,Infinity Corporation Polaris,Emily McAdams † (wife) Sarah McAdams † (daughter),Late 30's [ 1 ]
Collette Sissons,https://the100.fandom.com/wiki/Collette_Sissons,https://static.wikia.nocookie.net/thehundred/images/f/f9/Collette_Sissons_%28Day_Trip%29.png/revision/latest/scale-to-width-down/268?cb=20250829062408,Pilot,Earth (current) The Ark (former) The camp,Hemorrhagic fever,,I Am Become Death,Deceased,,One,Indra,Unknown,,Female,,Sky People The 100,,16-18
Connor,https://the100.fandom.com/wiki/Connor,https://static.wikia.nocookie.net/thehundred/images/0/0a/Connor110.jpg/revision/latest/scale-to-width-down/268?cb=20141102050144,Murphy's Law,Earth (current) The Ark (former) The Camp,Asphyxiation,,I Am Become Death,Deceased,,Season One,John Murphy,Josh Ssettuba,,Male,Gunner,Sky People The 100,,16/17
Cosser,https://the100.fandom.com/wiki/Cosser,https://static.wikia.nocookie.net/thehundred/images/4/41/Cosser_5x10.png/revision/latest/scale-to-width-down/268?cb=20180718174700,Exit Wounds,Second Dawn Bunker (former) Shallow Valley (former),Gunshot,,The Warriors Will,Deceased,,Five,Paxton McCreary,Albert Nicholas,,Male,,Wonkru (former),,
Costa,https://the100.fandom.com/wiki/Costa,https://static.wikia.nocookie.net/thehundred/images/1/1a/3x03_Ark_Guard_Costa.PNG/revision/latest?cb=20160205232731,Pilot,Earth (current) The Ark (former) Arkadia (former) City of Light (former) Second Dawn Bunker (former),,Major,Praimfaya,Unknown (either deceased or transcended),,"One , Two , Three , Four",,Jojo Ahenkorah,,Male,Arkadia Guard,Sky People A.L.I.E.'s Cult (former) Wonkru,,
Costia,https://the100.fandom.com/wiki/Costia,https://static.wikia.nocookie.net/thehundred/images/c/cf/Unseen_character.png/revision/latest/scale-to-width-down/268?cb=20160831044715,,Earth,Decapitation,,,Deceased,,Two (mentioned only) Three (mentioned only),Nia,,,Female,,Trikru,Lexa † (former girlfriend),16-19
Craig,https://the100.fandom.com/wiki/Craig,https://static.wikia.nocookie.net/thehundred/images/7/71/Craig100.jpg/revision/latest/scale-to-width-down/268?cb=20210311213532,Survival of the Fittest,The Ark (former) Earth (former) Arkadia (former),Eaten by a giant lamprey,,Blood Must Have Blood (Part 2),Deceased,,Season Two,Thelonious Jaha,Jedidiah Goodacre,,Male,,Sky People Jaha's followers,,
Cuyler Ridley,https://the100.fandom.com/wiki/Cuyler_Ridley,https://static.wikia.nocookie.net/thehundred/images/6/61/Screenshot_2014-05-19_17.50.30.png/revision/latest/scale-to-width-down/267?cb=20140519220653,Contents Under Pressure,The Ark,Exodus ship explosion,,Unity Day,Deceased,,One,Mountain Men,Teach Grant,6 Sky People,Male,Mechanic,Sky People Sydney's Rebels,Unnamed wife † Unnamed daughter Alma Ridley (mother) Unnamed father †,36
Minor Characters,https://the100.fandom.com/wiki/Dakiva,,,,,,,,,,,,,,,,,
Daniel Lee,https://the100.fandom.com/wiki/Daniel_Lee,https://static.wikia.nocookie.net/thehundred/images/0/07/6x02_Hijacker-1.png/revision/latest/scale-to-width-down/268?cb=20240712143855,Red Sun Rising,Earth (former) Alpha (former) Sanctum (former),Shot (I & VI) Deleted ( Mind Drive ),Daniel Prime Daniel Lee VI,Red Sun Rising,Deceased,2030-2040; Earth (prime),Season Six,Russell Lightbourne (I) Charmaine Diyoza (VI) Simone Lightbourne (consciousness),Uncredited,,Male,Prime Pilot,Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Victor Lee † (father) Faye Lee † (mother) Kaylee Lee † (sister) Zev † (boyfriend),50's (VI)
Dante Wallace,https://the100.fandom.com/wiki/Dante_Wallace,https://static.wikia.nocookie.net/thehundred/images/e/e0/DanteCropS2.jpg/revision/latest/scale-to-width-down/268?cb=20140925134424,The 48,Mount Weather,Shot in the chest,,Blood Must Have Blood (Part 2),"Deceased , 2149; Mount Weather",2086,Two,Clarke Griffin,Raymond J. Barry,Numerous Grounders (indirectly) Dr. Lorelei Tsing (indirectly) 14 Mount Weather Guards (indirectly),Male,President of Mount Weather (former) Artist (while imprisoned),Mountain Men,Cage Wallace † (son) Mother † Sister † Father † (former President) Grandfather †,~63
Dave,https://the100.fandom.com/wiki/Dave,https://static.wikia.nocookie.net/thehundred/images/5/5a/607_Dave.png/revision/latest/scale-to-width-down/268?cb=20200418183207,Nevermind,"Boston, Massachusetts, USA, Earth",Suicide by gunshot to the head,,Matryoshka,Deceased,,Six,Himself,Rohan Campbell,,Male,College student,Josephine Lightbourne,,20s
David Miller,https://the100.fandom.com/wiki/David_Miller,https://static.wikia.nocookie.net/thehundred/images/6/6d/Screen_Shot_2014-12-19_at_10.44.17_PM.png/revision/latest/scale-to-width-down/268?cb=20141220064726,Inclement Weather,Earth (current) The Ark (former) Arkadia (former) Second Dawn Bunker (former),Radiation,Dad (by his son ) Sergeant,The Chosen,"Deceased , 2150; Earth",2100s; The Ark,"Two , Three , Four",Second Nuclear Apocalypse,Chris Shields,,Male,Chief Arkadia Guard,Sky People A.L.I.E.'s Cult (former),Nathan Miller (son) Raine Miller † (grounder ancestor),Early 40's
Dax,https://the100.fandom.com/wiki/Dax,https://static.wikia.nocookie.net/thehundred/images/4/41/DaxFullCrop.jpg/revision/latest?cb=20140511031725,Earth Skills,Earth The Ark (former) The Camp,Stabbed in the neck with a bullet,,Day Trip Join or Die (flashback),Deceased,,One Three (flashback),Bellamy Blake,Victor Zinck Jr.,1 Sky Person,Male,,Sky People The 100 Sydney's Rebels,Unnamed mother (status unknown),17/18
Delano,https://the100.fandom.com/wiki/Delano,https://static.wikia.nocookie.net/thehundred/images/9/99/DelanoCrop.jpg/revision/latest/scale-to-width-down/267?cb=20141206171546,Reapercussions,Earth,Shot,,Fog of War (corpse),Deceased,,Two,Finn Collins,Brendon Zub,18 villagers including Artigas (indirectly),Male,,Trikru (exiled),,
Delilah Workman,https://the100.fandom.com/wiki/Delilah_Workman,https://static.wikia.nocookie.net/thehundred/images/a/a6/6x03_Delilah.png/revision/latest/scale-to-width-down/268?cb=20190515142903,The Children of Gabriel,Sanctum,Mind wiped,The Barmaid (by Murphy ),The Face Behind the Glass,Deceased,2260; Sanctum,Six,The Primes,Ashleigh LaThrop,,Female,Bar maid Host,Sanctumites Nightbloods Primes,Blythe Ann Workman (mother) Jae Workman (father),21
Denae,https://the100.fandom.com/wiki/Denae,https://static.wikia.nocookie.net/thehundred/images/f/f2/3x05_Denae.PNG/revision/latest?cb=20160219075837,Hakeldama,Earth,,,Stealing Fire,Unknown (either Deceased or Transcended ),,Three,,Georgia Hacche,,Female,Warrior,Trikru,,
Denby,https://the100.fandom.com/wiki/Denby,https://static.wikia.nocookie.net/thehundred/images/0/08/Denby_crop_2x10.png/revision/latest/scale-to-width-down/268?cb=20150622003145,Human Trials,The Ark (former) Arkadia,Most likely Radiation,,Survival of the Fittest,Deceased,,Two,Second Nuclear Apocalypse,Michael Rogers,,Male,Camp Jaha Guard,Sky People,,
Derek,https://the100.fandom.com/wiki/Derek,https://static.wikia.nocookie.net/thehundred/images/e/e8/Derek1x10.png/revision/latest/scale-to-width-down/268?cb=20140607033237,I Am Become Death,Earth (current) The Ark (former) The camp,Virus,,I Am Become Death,Deceased,,One,Indra [ 1 ],Wesley MacInnes,,Male,Gunner,Sky People The 100,,16-17
Derrick,https://the100.fandom.com/wiki/Derrick,https://static.wikia.nocookie.net/thehundred/images/1/17/Derrick_3x14.png/revision/latest/scale-to-width-down/268?cb=20170408052752,Red Sky at Morning,Floukru's Oil Rig (former),Stabbed,,Red Sky at Morning,Deceased,,Three,Luna,George Tchortov,,Male,,Floukru A.L.I.E.'s Cult,Luna (lover) †,
Dev,https://the100.fandom.com/wiki/Dev,https://static.wikia.nocookie.net/thehundred/images/b/b5/Dev_704.png/revision/latest/scale-to-width-down/268?cb=20200611180237,The Garden (body) Hesperides (alive),Bardo (former) Skyring (former),Stabbed through the back,L-7,Hesperides,Deceased,,Seven,Unnamed Disciple,Kamran Fulleylove,3 Disciples,Male,Disciple (former),Disciples (former) Hope Diyoza,Hope Diyoza (daughter figure),30s
Diana Sydney,https://the100.fandom.com/wiki/Diana_Sydney,https://static.wikia.nocookie.net/thehundred/images/d/db/1x06_Diana_Crop.png/revision/latest/scale-to-width-down/268?cb=20190701035646,Contents Under Pressure,The Ark (former),Exodus ship explosion,Councilor Sydney,Unity Day,Deceased,,One,Mountain Men,Kate Vernon,"Commander Shumway 1,506 Sky People",Female,Councilwoman (former) Chancellor (former),Sky People Her Rebels,,
Diggs,https://the100.fandom.com/wiki/Diggs,https://static.wikia.nocookie.net/thehundred/images/a/ae/DiggsFullCrop.png/revision/latest/scale-to-width-down/267?cb=20140510151213,His Sister's Keeper,Earth The Ark (former) The Camp,Impaled,,His Sister's Keeper,Deceased,,One,Grounder trap,Giacomo Baessato,,Male,,Sky People The 100 Bellamy's Militia,Unnamed Mother,17
Doucette,https://the100.fandom.com/wiki/Doucette,https://static.wikia.nocookie.net/thehundred/images/9/9f/713_Doucette.jpg/revision/latest/scale-to-width-down/268?cb=20200902114127,Welcome to Bardo,Bardo (former) Etherea (former) Sanctum (former),Shot,,Blood Giant,"Deceased , 2281 ; Sanctum Palace",Unknown; Bardo,Seven,Clarke Griffin,Jonathan Scarfe,,Male,Stone Conductor,Disciples,,30s-40s
Drew,https://the100.fandom.com/wiki/Drew,https://static.wikia.nocookie.net/thehundred/images/2/2d/Drew1x13.png/revision/latest/scale-to-width-down/268?cb=20140612145338,Contents Under Pressure,Earth (current) The Ark (former) The Camp,Head impaled with a throwing weapon,,We Are Grounders (Part 2),Deceased,,One,Grounder Scouts,Levi Meaden,,Male,Gunner,Sky People The 100,,16/17
Echo,https://the100.fandom.com/wiki/Echo,https://static.wikia.nocookie.net/thehundred/images/8/82/7x16_Echo_crop.jpg/revision/latest/scale-to-width-down/268?cb=20230306195622,Coup de Grâce,Earth (current) Azgeda territory (former) Mount Weather (former; as a prisoner) City of Light (former) Polis (former) Go-Sci Ring (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former) Skyring (former) Bardo (former) Second Dawn Bunker (former),,Ash (birth name) Spy Echo Kom Azgedakru (Echo of the Ice Nation ) Ash Kom Azgedakru (Ash of the Ice Nation),The Last War,Alive,,"Two , Three , Four , Five , Six , Seven",,Tasya Teles Kai Dolmans (young),Real Echo Sgt. Eric Lovejoy (alongside Bellamy Blake ) Gina Martin (caused) 48 Sky People (caused) Boudalan Ambassador Ilian (caused) Joaquin (mercy kill) Ryker Desai IX 3 Disciples 4 Disciples Orlando (caused) Kirsch Disciple Groundskeeper 3 Disciples Charmaine Diyoza (caused),Female,Warrior Assassin Spy Royal Guard of the Army (former),Finalkru Azgeda (banished by Roan ) A.L.I.E.'s Cult (former) Spacekru Wonkru Disciples (feigned),Unnamed father † Unnamed mother † Bellamy Blake † (former boyfriend) Spacekru (declared family) Gabriel Santiago † (declared family) Hope Diyoza (declared family) Raven Reyes (declared sister),"20s-30s 150s (chronologically, S6)"
Echo (Original),https://the100.fandom.com/wiki/Echo_(Original),https://static.wikia.nocookie.net/thehundred/images/b/b3/611_Real_Echo.png/revision/latest/scale-to-width-down/268?cb=20190724132129,Ashes to Ashes,Earth,Stabbed and impaled to death with an arrow,Echo Kom Azgedakru (Echo of the Ice Nation ),From the Ashes,Deceased,,"Six , Seven",Ash,Milli Wilkinson,,Female,Warrior Archer Spy,Azgeda,,10s
Emori,https://the100.fandom.com/wiki/Emori,https://static.wikia.nocookie.net/thehundred/images/e/eb/716_promo_18_Emori_Crop.jpg/revision/latest/scale-to-width-down/268?cb=20210502165505,Rubicon,Earth (current) Dead Zone (former) City of Light (former) Becca's Island (former) Second Dawn Bunker (former) Go-Sci Ring (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former),"Blood loss due to being impaled by a rebar (original body, 2281 ; Sanctum )","Frikdreina (mutant) 'Mori (by Murphy ) Raven's star student (by Murphy ) Kaylee Prime Baby, My girl (both by Murphy )",The Last War,Alive (resurrected briefly via host and reborn after transcending ),,"Two , Three , Four , Five , Six , Seven",Bill Cadogan (caused; original body),Luisa d'Oliveira,Gideon Rock Line Thief (indirectly) Knight (caused) 2 members of Wonkru (caused),Female,Prime (former; by ruse) Boat driver Mechanic Pilot Nomad (former) Thief (former),Wonkru Sky People Resistance Against A.L.I.E. (former) A.L.I.E.'s Cult (former) Nomadic Grounders (former) Spacekru Primes (former) Sanctumites Finalkru,Otan † (brother) John Murphy (fiancé) Spacekru,"17/18 (S2-S4) Mid 20s (S5-7) Mid 145s (chronologically, S6-7)"
Minor Characters,https://the100.fandom.com/wiki/Enera,,,,,,,,,,,,,,,,,
Eric Jackson,https://the100.fandom.com/wiki/Eric_Jackson,https://static.wikia.nocookie.net/thehundred/images/8/80/Eric_Jackson_in_the_Last_Season_Finale.png/revision/latest/scale-to-width-down/268?cb=20210311234520,Pilot,Earth (current) The Ark (former) Arkadia (former) City of Light (former) Becca's Island (former) Second Dawn Bunker (current) Eligius IV (former) Alpha (former) Sanctum (former),,Jackson Dr. Jackson Jax (by Nathan ),The Last War,Alive,,"One , Two , Three , Four , Five , Six , Seven",,Sachin Sahel,Rock Line Thief,Male,Medical Doctor Neurosurgeon,Sky People A.L.I.E.'s Cult (former) Wonkru Finalkru,Mary Jackson † (mother) Abigail Griffin † (closest friend) Nathan Miller (boyfriend),
Minor Characters,https://the100.fandom.com/wiki/Esop,,,,,,,,,,,,,,,,,
Ethan Hardy,https://the100.fandom.com/wiki/Ethan_Hardy,https://static.wikia.nocookie.net/thehundred/images/3/3f/Ethan_Hardy-5X07.png/revision/latest/scale-to-width-down/268?cb=20220117001841,The Chosen,Earth (current) The Ark (former) Arkadia (former) Second Dawn Bunker (former),Gunshot,,Damocles (Part 1),"Deceased , 2156; Shallow Valley",2144; The Ark,"Four , Five",Eligius Prisoners,Beckham Skodje (age 5/6) St. John Myers (age 12),,Male,Wonkru novitiate,Sky People Wonkru,Geoff Hardy † (father) Thelonious Jaha † (caretaker) Octavia Blake (caretaker),5 (S4) 6 ( Red Queen ) 12 (S5)
Faye Lee,https://the100.fandom.com/wiki/Faye_Lee,https://static.wikia.nocookie.net/thehundred/images/b/b5/6x02_HijackerFaye.png/revision/latest/scale-to-width-down/268?cb=20190510060154,Red Sun Rising,Earth (former) Alpha (former) Sanctum (city-state) (former),Shot (I & VII) Deleted ( Mind Drive ),Faye Lee Faye Prime Faye Lee VII,Red Sun Rising,Deceased,2000-2010; Earth (prime),Season Six,Russell Lightbourne (I) Madi Griffin (VII) Simone Lightbourne (consciousness),Beatrice King (VII),,Female,Primes,Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Victor Lee † (husband) Kaylee Lee † (daughter) Daniel Lee † (son),40's (VII)
Finn Collins,https://the100.fandom.com/wiki/Finn_Collins,https://static.wikia.nocookie.net/thehundred/images/d/d0/The-100-season-2-cast-photos-finn.png/revision/latest/scale-to-width-down/268?cb=20160401042749,Pilot,The Ark (former) Earth (former) Delinquents' Camp (former) Camp Jaha (former),Stabbed in the abdomen,Spacewalker,Spacewalker (physical) Remember Me (hallucination) Nevermind (flashback),"Deceased , 2149; outside Camp Jaha",2131,"One , Two",Clarke Griffin (mercy kill) Lexa (ordered),Thomas McDonell,Glen Dickson (caused) 1 Delinquent (caused) 1 Reaper Delano 18 villagers including Artigas,Male,Tracker,The 100 Sky People,Raven Reyes (ex-girlfriend) Clarke Griffin (former love interest) Ilene Collins † (grounder ancestor),18
Fio,https://the100.fandom.com/wiki/Fio,https://static.wikia.nocookie.net/thehundred/images/5/51/410_-_champion_5_-_fio.jpg/revision/latest/scale-to-width-down/268?cb=20170428070833,Survival of the Fittest,Earth,Stabbed; blood loss (during final conclave),,"Die All, Die Merrily",Deceased,,"Two , Four",Roan,James Michalopolous,,Male,,Trikru,,
Fox,https://the100.fandom.com/wiki/Fox,https://static.wikia.nocookie.net/thehundred/images/4/4a/Resurrection_018_%28Fox%29.png/revision/latest/scale-to-width-down/268?cb=20161026122516,Pilot,Earth The Ark (former) The Camp (former) Mount Weather (former),Bone Marrow Harvesting,,Blood Must Have Blood (Part 2) Join or Die (flashback),Deceased,,"One , Two Three (flashback)",Dr. Lorelei Tsing (indirectly) Cage Wallace (indirectly),Genevieve Buechner,,Female,,Sky People The 100,,Under 18
Gabriel Santiago,https://the100.fandom.com/wiki/Gabriel_Santiago,https://static.wikia.nocookie.net/thehundred/images/6/64/The_100_S7_Gabriel.jpeg/revision/latest/scale-to-width-down/268?cb=20200603161739,Red Sun Rising,Earth (current) Mission Team Alpha Camp (former) The Verge (former) Alpha (former) Sanctum (former) Skyring (former) Bardo (former),Cancer (prime) Old age (previous host) Stabbed in the back and several times in the abdomen (last host),Doctor Dr. Santiago Gabriel II Gabriel Prime The Old Man The Demon Gabriel The Demon (by Tory) Prime Number 13 (by Diyoza) Grandpa (by Diyoza) Errand boy Doc Xavier,A Sort of Homecoming,"Deceased , 2281 ; Second Dawn Bunker",Earth,"Six , Seven",Sheidheda (last host),"Ian Pala (I, Prime) Donald Heng (II, first host) Chuku Modu (last host)",Brooke Eduardo Clarke Griffin (temporarily; revived) A.L.I.E. 2.0 (permanently destroyed) Spirit of the Commanders,Male,Geneticist Prime (former) Leader of the Children of Gabriel Member of the Disciple Cipher Team (feigned),Children of Gabriel Wonkru Eligius Corporation Mission Team Alpha (former) Primes (former) Sanctumites Disciples (feigned),Unnamed grandmother † Unnamed mother † Josephine Lightbourne † (former girlfriend),"20's (2045) Mid-40s (2070) 96 (body of his previous host) 30s (body of his last host, Xavier)"
Gael,https://the100.fandom.com/wiki/Gael,https://static.wikia.nocookie.net/thehundred/images/3/3c/410_-_champion_11_-_plains_riders_2.jpg/revision/latest/scale-to-width-down/268?cb=20170503223810,DNR,,Killed during the Final Conclave,,"Die All, Die Merrily",Deceased,,Four,Roan,Andre Tricoteux,,Male,War Chief (former) Warrior,Ingranronakru,,
Gaia,https://the100.fandom.com/wiki/Gaia,https://static.wikia.nocookie.net/thehundred/images/e/e6/The_100_Gaia_in_Episode_704.jpg/revision/latest/scale-to-width-down/268?cb=20200604021436,Echoes,Earth (current) Polis (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (former) Sanctum (former) Simone's Farmhouse (former),,Seda (teacher in Trigedasleng ) Sensei (by Diyoza ),The Last War,Alive,,"Four , Five , Six , Seven",,Tati Gabrielle,1 Disciple,Female,Fleimkepa ( Flamekeeper ; former) Fleimkepa scout (former) Teacher,Finalkru Trikru Wonkru,Indra (mother) Unnamed father † Unnamed grandparents †,"20s 145s (chronologically, end of S5)"
Minor Characters,https://the100.fandom.com/wiki/Gavin,,,,,,,,,,,,,,,,,
Minor Characters,https://the100.fandom.com/wiki/Gavriel,,,,,,,,,,,,,,,,,
Geoff Hardy,https://the100.fandom.com/wiki/Geoff_Hardy,https://static.wikia.nocookie.net/thehundred/images/e/e4/Hardy_2.png/revision/latest/scale-to-width-down/268?cb=20170531122647,We Will Rise,Earth (former) The Ark (former) Arkadia (former) Second Dawn Bunker (former),Radiation,Dad (by his son) Hardy,The Chosen,"Deceased , 2150; Earth",2100s-2110s; The Ark,Four,Second Nuclear Apocalypse Marcus Kane (indirectly) Thelonious Jaha (indirectly),Cole Vigue,,Male,Arkadian Guard,Sky People,Ethan Hardy † (son),20s-30s
Gideon,https://the100.fandom.com/wiki/Gideon,https://static.wikia.nocookie.net/thehundred/images/e/e7/Gideon.jpg/revision/latest/scale-to-width-down/268?cb=20160323065331,Wanheda (Part 1),City of Light Earth (former) Becca's Island (former),Slit throat,,Wanheda (Part 2),Deceased,,Three,Emori,John DeSantis,,Male,Servant to A.L.I.E.,Nomadic Grounders A.L.I.E.'s Cult,,
Gina Martin,https://the100.fandom.com/wiki/Gina_Martin,https://static.wikia.nocookie.net/thehundred/images/b/ba/Gina_3x01_crop.png/revision/latest/scale-to-width-down/268?cb=20160124025021,Wanheda (Part 1),Earth (current) The Ark (former) Arkadia (former),Stabbed,,Ye Who Enter Here,Deceased,,Three,Azgeda Assassin Nia (indirectly) Echo (indirectly),Leah Gibson,,Female,,Sky People,Bellamy Blake † (boyfriend),mid-20s
Glen Dickson,https://the100.fandom.com/wiki/Glen_Dickson,https://static.wikia.nocookie.net/thehundred/images/3/3b/Glen_%28Pilot%29.PNG/revision/latest/scale-to-width-down/268?cb=20200918130008,Pilot,Earth (current) The Ark (former),Landing of dropship,,Earth Skills (corpse),Deceased,,One,Impact,Uncredited,,Male,,Sky People The 100,,16/17
Grace Cadogan,https://the100.fandom.com/wiki/Grace_Cadogan,https://static.wikia.nocookie.net/thehundred/images/8/81/Gemma_Cadogan_708_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200703184321,Anaconda,Earth Second Dawn Bunker (former),Unknown,G Mom Mrs. Cadogan,Anaconda,Deceased,,Seven,,Crystal Balint,,Female,Unknown,,Bill Cadogan † (ex-husband) Reese Cadogan † (son) Callie Cadogan † (daughter) Unnamed ex-father-in-law †,
Guara,https://the100.fandom.com/wiki/Guara,https://static.wikia.nocookie.net/thehundred/images/5/51/410_-_champion_12_-_podakru.jpg/revision/latest/scale-to-width-down/268?cb=20170502211443,DNR,,Killed during the Final Conclave,,"Die All, Die Merrily",Deceased,,Four,Luna,Natasha Denis,,Female,War Chief (former) Podakru Warrior,Podakru,,
Gustus,https://the100.fandom.com/wiki/Gustus,https://static.wikia.nocookie.net/thehundred/images/0/03/Gustus_2x06.png/revision/latest/scale-to-width-down/268?cb=20141204145944,Fog of War,Earth,Executed (death ritual),Bodyguard,Remember Me,Deceased,,Two,Lexa,Aleks Paunovic,,Male,Warrior,Trikru,,
Guy Henriksen,https://the100.fandom.com/wiki/Guy_Henriksen,https://static.wikia.nocookie.net/thehundred/images/2/2d/Guy_Henriksen_%28Pilot%29.png/revision/latest?cb=20250830045933,Pilot,Earth (current) The Ark (former) The camp,,,Pilot,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Hannah Green,https://the100.fandom.com/wiki/Hannah_Green,https://static.wikia.nocookie.net/thehundred/images/f/f9/Terms_and_Conditions_101.png/revision/latest/scale-to-width-down/268?cb=20160825163522,Wanheda (Part 2),Earth The Ark (former) Arkadia (former) City of Light (former),Shot (real world) Code deleted ( City of Light ),,Red Sky at Morning,Deceased,,Three,Monty Green Raven Reyes (assisted in code deletion),Donna Yamamoto,"300 Trikru warriors (with Bellamy , Pike and 7 others)",Female,Farmer (former) Council member (former) Arkadia Guard (former),Sky People Pike's Faction (former) A.L.I.E.'s Cult,Monty Green † (son) Unnamed husband † Jordan Green (grandson) Harper McIntyre † (daughter-in-law),
Harper McIntyre,https://the100.fandom.com/wiki/Harper_McIntyre,https://static.wikia.nocookie.net/thehundred/images/0/04/Harper_Mclntyre_-_Sleeping_Giant_crops.jpeg/revision/latest/scale-to-width-down/268?cb=20200808174327,I Am Become Death,Earth (former) The Ark (former) The Camp (former) Mount Weather (former) Arkadia (former) Becca's Island (former) Go-Sci Ring (former) Eligius IV Shallow Valley (former) Second Dawn Bunker (former),Genetic disorder,,Damocles (Part 2),"Deceased , Feb. 8, 2206; Eligius IV",2133; The Ark,"One , Two , Three , Four , Five",,Chelsey Reist,"Several Grounders and Mountain Men Several Azgeda slavers at Farm Station (alongside Bellamy , Monty , Bryan and Nathan Miller ) Louis (indirectly)",Female,Gunner (former) Arkadia Guard (former),Wonkru The 100 Sky People Kane's Faction Resistance Against A.L.I.E. Spacekru,Unnamed father † (mentioned) Monty Green † (life partner) Jordan Green (son) Hannah Green † (mother-in-law) Monty's Father † (father-in-law),~17 (seasons 1-4) ~23 (season 5) ~73 (at death)
Hatch,https://the100.fandom.com/wiki/Hatch,https://static.wikia.nocookie.net/thehundred/images/1/12/Hatch_7x03.jpg/revision/latest/scale-to-width-down/268?cb=20200625220957,From the Ashes,Earth (former) Shallow Valley (former) Eligius IV (former) Alpha (current) Sanctum (current),Radiation poisoning,,Blood Giant (hallucination),Deceased,,Seven,James Crockett (indirectly caused) Raven Reyes (indirectly caused),Chad Rook,Bank robbery hostages (with Nikki ),Male,Prisoner (former) Bank robber (former) Leader of the Eligius Prisoners (former),Eligius Prisoners,Nikki (wife),
Hayden,https://the100.fandom.com/wiki/Hayden,https://static.wikia.nocookie.net/thehundred/images/9/9c/707_Hayden.png/revision/latest/scale-to-width-down/268?cb=20200702143202,The Queen's Gambit,Bardo,,,Anaconda,Transcended,Unknown; Bardo,Seven,,Stephanie Izsak,,Female,Member of the Disciple Cipher Team,Disciples,,30s
Hayes,https://the100.fandom.com/wiki/Hayes,https://static.wikia.nocookie.net/thehundred/images/1/13/Hayes2.png/revision/latest/scale-to-width-down/268?cb=20170511234808,A Lie Guarded,Earth (current) The Ark (former) Arkadia,Suicide (drug overdose),,The Other Side,Deceased,,Four,Himself Jasper Jordan (indirectly) Niylah (indirectly),Alex Pangburn,,Male,,Sky People,,Early 20s
Helios,https://the100.fandom.com/wiki/Helios,https://static.wikia.nocookie.net/thehundred/images/9/92/PromoOctaviaHorse301.jpg/revision/latest/scale-to-width-down/267?cb=20151229012601,Wanheda (Part 1),Earth,Second Nuclear Apocalypse,,"Die All, Die Merrily",Deceased,,"Three , Four",,Jazzway [ 1 ] [ 2 ],,Male,,Trikru Sky People,Octavia Blake (owner) Lincoln † (former owner),
Hope Diyoza,https://the100.fandom.com/wiki/Hope_Diyoza,https://static.wikia.nocookie.net/thehundred/images/7/7b/Hope_Diyoza_-_The_Last_War_%28episode%29_-_Crop.jpg/revision/latest/scale-to-width-down/267?cb=20200929131348,The Old Man and the Anomaly,Skyring (former) Alpha (former) Bardo (former) Earth (current) Second Dawn Bunker (former),,Little One (by Charmaine Diyoza and Octavia ) Seeker Diyoza (by a Disciple ),The Last War,Alive,Unknown year (due to time dilation) ; Skyring,"Six , Seven",,Shelby Flannery (Adult) Emma Oliver (Child) Amber Taylor (6 years old) Nevis Unipan (10 years old) Orla Eileen Oliver-Jay (Baby) Saoirse Kenzie Oliver-Jay (Baby),1 Disciple 2 Disciples Stone Conductor Anders Charmaine Diyoza (caused),Female,,Finalkru Disciples (feigned) Wonkru,Charmaine Diyoza † (mother) Paxton McCreary † (father) Unnamed grandfather † Octavia Blake (surrogate aunt) Dev † (adopted/surrogate father) Echo (declared family) Gabriel Santiago † (brotherly bond) Jordan Green (boyfriend),25
