Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
Duncan (TV Series),https://walkingdead.fandom.com/wiki/Duncan_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b0/Season_eleven_duncan.png/revision/latest/scale-to-width-down/268?cb=20210813220038,,,Unknown,African-American,Dead,,,,Early to Mid 30s,,Brown,,5,Agatha † - Girlfriend [ 1 ],,Man-Tits (by Negan ) Sasquatch (by Negan),Male,Unknown,,,Marcus Lewis,,,,
Dwight (TV Universe),https://walkingdead.fandom.com/wiki/Dwight_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/9/98/Season_eight_dwight_fear.png/revision/latest/scale-to-width-down/268?cb=20230622215832,,,(Unnamed) † - Grandfather Sherry - Wife Finch † - Son Tina † - Sister-In-Law,Caucasian-American,Alive,,,,"Late 20s to Early 30s ("" Always Accountable "") Late 30s to Early 40s ("" Blue Jay "")",,Blond,,24 ( The Walking Dead ) 37 ( Fear ),,,D (by Sherry ) Dwighty Boy (by Negan ) Baby Face (by Sarah ) Red Kite (in PADRE ),Male,Pre-Apocalypse Blue Collar Employee [ 1 ] Post-Apocalypse Former Worker for the Saviors Former Lieutenant of the Saviors Former Informant for the Militia Former Scout and Investigator for the Pioneers Former Lookout for Valley Town Former Combat Instructor for PADRE Co-Leader of MADRE and the Sanctuary,,,Austin Amelio,,,"Kirk Riley ("" The Other Side "")",
Earl Sutton (TV Series),https://walkingdead.fandom.com/wiki/Earl_Sutton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/65/Season_ten_earl_sutton.png/revision/latest/scale-to-width-down/268?cb=20240618015803,,,Tammy Rose Sutton † - Late Wife Kenneth Sutton † - Son Adam Sutton - Adopted Son,Caucasian-American,Dead,,,,"Early to Mid 60s ("" A New Beginning "") Late 60s to Early 70s ("" Evolution "")",,Gray (Balding),,12,,,,Male,Pre-Apocalypse Former Soldier in the U.S. Military Former Blacksmith Post-Apocalypse Blacksmith at the Hilltop Colony Former Member of the Hilltop Council [ 1 ],,,John Finn,,,,
Eastman (TV Series),https://walkingdead.fandom.com/wiki/Eastman_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/96/Season_six_eastman.png/revision/latest/scale-to-width-down/268?cb=20210523194920,,,Mrs. Eastman † - Late Wife (Unnamed) † - Daughter (Unnamed) † - Son,Caucasian-American,Dead,,,,Late 40s,,Black (Balding),,,,,,Male,Pre-Apocalypse Forensic Psychiatrist,,Tabitha † - Goat,John Carroll Lynch,,,,
Ed Peletier (TV Series),https://walkingdead.fandom.com/wiki/Ed_Peletier_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0a/Season_one_ed_peletier.png/revision/latest/scale-to-width-down/268?cb=20210319033921,,,Carol Peletier - Wife Sophia Peletier † - Daughter,French-American,Dead,,,,Mid 40s,,Black (Graying),,4,,Blue,,Male,Unknown,,,Adam Minarovich,,,,
Eddie (TV Series),https://walkingdead.fandom.com/wiki/Eddie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/dd/Eddie_%28TV_Series%29.png/revision/latest/scale-to-width-down/268?cb=20131014122139,,,Clara † - Wife,Irish,Undead,,,,Unknown,,Unknown,,,,,,Male,Unknown,,,None,,,,
Eduardo (TV Series),https://walkingdead.fandom.com/wiki/Eduardo_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/42/Season_seven_eduardo.png/revision/latest/scale-to-width-down/268?cb=20210316011739,,,Unknown,Latino-American,Unknown,,,,Late 20s to Early 30s,,Black,,16,,,,Male,Post-Apocalypse Guard Captain for the Hilltop Colony Former Soldier for the Militia,,,Peter Zimmerman,,,,
Edwin Jenner (TV Universe),https://walkingdead.fandom.com/wiki/Edwin_Jenner_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/2/26/Season_one_edwin_jenner.png/revision/latest/scale-to-width-down/268?cb=20230926045702,,,Candace Jenner † - Late Wife,Caucasian-American,Dead,,,,Mid 40s,,Light Brown (Graying),,2 ( The Walking Dead ) 1 ( World Beyond ),,Brown,,Male,Pre-and Post-Apocalypse Virologist for the Center for Disease Control,,,Noah Emmerich,,,,
Eileen (TV Series),https://walkingdead.fandom.com/wiki/Eileen_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/24/Eileen_%28Walk_With_Me%29.jpg/revision/latest?cb=20181114153948,,,(Unnamed) † - Late Husband (Unnamed) † - Unborn Child,Caucasian-American,Dead,,,,Early to Mid 20s,,Blonde,,5,,Blue,,Female,Unknown,,,Meaghan Caddy,,,,
Elaine (TV Series),https://walkingdead.fandom.com/wiki/Elaine_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/99/Season_eleven_elaine.png/revision/latest/scale-to-width-down/268?cb=20210920010129,,,Unknown,Caucasian-American,Unknown,,,,Early to Mid 20s,,Brown,,2,,,,Female,Pre-Apocalypse Student Post-Apocalypse Ice Cream Clerk at Taste of Tradition,,,Rebecca Ray,,,"Unknown Stand-In ("" The Lucky Ones "")",
Elijah (TV Series),https://walkingdead.fandom.com/wiki/Elijah_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f1/Season_eleven_elijah.png/revision/latest/scale-to-width-down/268?cb=20221107232503,,,Josephine † - Sister,African-American,Alive,,,,Early to Mid 20s,,Black,,20,Lydia - Girlfriend,,,Male,Pre-Apocalypse Student Post-Apocalypse Messenger and Former Guard for the Hilltop Colony Former Soldier for the Coalition Courier for the Commonwealth,,,Okea Eme-Akwari,,,"Joshua Lamboy ("" A Certain Doom "")",
Eliza Morales (TV Series),https://walkingdead.fandom.com/wiki/Eliza_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/73/Eliza_Morales_S1.png/revision/latest/scale-to-width-down/268?cb=20250627022226,,,Miranda Morales † - Mother Morales † - Father Louis Morales † - Brother,Latina-American,Dead,,,,12-Oct,,Black,,3,,Brown,,Female,Pre-Apocalypse Assumed Elementary School Student,,,Maddie Lomax,,,,
Ellen Ford (TV Series),https://walkingdead.fandom.com/wiki/Ellen_Ford_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/40/Season_five_ellen_ford.png/revision/latest/scale-to-width-down/268?cb=20141110211249,,,Abraham Ford † - Husband A.J. Ford † - Son Becca Ford † - Daughter,Caucasian-American,Dead,,,,Early to Mid 30s,,Dark Brown,,,,,,Female,Unknown,,,Andrea Moore,,,,
Emilio Grijalva (TV Series),https://walkingdead.fandom.com/wiki/Emilio_Grijalva_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f1/Season_six_emilio_grijalva_%28photo%29.png/revision/latest/scale-to-width-down/268?cb=20251008205224,,,Unknown,Spanish-American,Dead,,,,Mid to Late 30s,,Brown,,,,,,Male,Unknown,,,Unknown,,,,
Emily Coleman (TV Series),https://walkingdead.fandom.com/wiki/Emily_Coleman_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/cb/Emily_Coleman_%28Say_the_Word%29.png/revision/latest?cb=20200530172916,,,Betty Coleman † - Mother Michael Coleman † - Father Michael Coleman Jr. † - Brother,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Female,Post-Apocalypse Assumed Soldier for the Woodbury Army,,,Unknown,,,,
Emmett Carson (TV Series),https://walkingdead.fandom.com/wiki/Emmett_Carson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/35/Season_seven_emmett_carson.png/revision/latest/scale-to-width-down/268?cb=20170301002403,,,Harlan Carson † - Brother,Caucasian-American,Dead,,,,Early to Mid 50s,,Brown (Graying),,3,,,,Male,Pre-Apocalypse Doctor Post-Apocalypse Doctor for the Saviors,,,Tim Parati,,,,
Enid (TV Series),https://walkingdead.fandom.com/wiki/Enid_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d0/Season_nine_enid_%282%29.png/revision/latest/scale-to-width-down/268?cb=20240628020132,,,( Unnamed ) † - Mother ( Unnamed ) † - Father,Caucasian-American,Dead,,,,"16 ("" Remember "") 17 ("" A New Beginning "") 23 ("" Stradivarius "")",,Brown,,38,Ron Anderson † - Ex-Boyfriend Carl Grimes † - Late Boyfriend Alden † - Boyfriend,,,Female,Pre-Apocalypse High School Student Post-Apocalypse Former Soldier for the Militia Doctor for the Hilltop Colony,,,Katelyn Nacon,,,"Unknown Stand-In ("" Open Your Eyes "")",
Eric Raleigh (TV Series),https://walkingdead.fandom.com/wiki/Eric_Raleigh_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7b/Season_eight_eric_raleigh.png/revision/latest/scale-to-width-down/268?cb=20171101021119,,,Aaron - Husband (Unnamed) † - Mother-in-law (Unnamed) † - Brother-in-law,Caucasian-American,Undead,,,,Late 20s to Early 30s,,Auburn,,17,,,,Male,Pre-Apocalypse NGO Worker Post-Apocalypse Former Recruiter for the Alexandria Safe Zone Soldier for the Militia,,,Jordan Woods-Robinson,,,,
Erin (TV Series),https://walkingdead.fandom.com/wiki/Erin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b4/Season_six_erin.png/revision/latest/scale-to-width-down/268?cb=20200102171852,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,3,,,,Female,Unknown,,,Tiffany Morgan,,,,
Erin (Walker),https://walkingdead.fandom.com/wiki/Erin_(Walker),https://static.wikia.nocookie.net/walkingdead/images/5/5f/ErinC-.png/revision/latest?cb=20130304163431,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 20s,,Brown,,,,,,Female,Unknown,,,Erin Leigh Bushko,,,,
Eryn (TV Series),https://walkingdead.fandom.com/wiki/Eryn_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c3/Season_four_eryn.png/revision/latest/scale-to-width-down/268?cb=20210313144727,,,Unknown,Caucasian-American,Dead,,,,10-Aug,,Brown,,2,,Blue,,Female,Pre-Apocalypse Elementary School Student,,,Eryn Ridings,,,,
Ethan (TV Series),https://walkingdead.fandom.com/wiki/Ethan_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/fb/Season_six_ethan.png/revision/latest/scale-to-width-down/267?cb=20160321200132,,,Craig † - Brother,Caucasian-American,Dead,,,,Early 30s,,Blond/Brown,,,,,,Male,Post-Apocalypse Food Exchanger for the Hilltop Colony,,,Justin Kucsulain,,,,
Eugene Porter (TV Series),https://walkingdead.fandom.com/wiki/Eugene_Porter_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e3/Season_eleven_eugene_porter_%282%29.png/revision/latest/scale-to-width-down/268?cb=20231215050144,,,(Unnamed) † - Grandfather Maxxine Porter - Wife Rosie Porter - Daughter Michael Mercer - Brother-in-Law Stephanie Mercer - Mother-in-Law Mr. Mercer † - Father-in-Law,Caucasian-American,Alive,,,,"33 ("" Self Help "", Flashback) 34 ("" Inmates "") 36 ("" A New Beginning "") 42 ("" Who Are You Now? "") 43 ("" Lines We Cross "") 44 ("" Trust "") 45 ("" Rest in Peace "")",,Dark Brown (Graying),,84,Shira - Ex-Girlfriend,,Haircut (by Laura ) Dr. Smarty Pants (by Negan ) The Wheel Man (in Onslaught ) Eugenius (by Luke ) Tater Bug (by himself and Maxxine ),Male,Pre-Apocalypse High School President of the Anti-Drug and Alcohol Coalition Educator Post-Apocalypse Former Engineer for the Alexandria Safe Zone Former Chief Engineer for the Sanctuary Former Lieutenant of the Saviors Former Head of the Bullet Factory Outpost Former Biofuel Producer Former School Teacher at the Commonwealth,,,Josh McDermitt,,,,
Evan (TV Series),https://walkingdead.fandom.com/wiki/Evan_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7e/Season_eight_evan.png/revision/latest/scale-to-width-down/267?cb=20200517035654,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 40s,,Brown,,,,,,Male,Unknown,,,Mark Ashworth,,,,
Evans (TV Series),https://walkingdead.fandom.com/wiki/Evans_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0e/Season_eleven_evans.png/revision/latest/scale-to-width-down/268?cb=20210813225025,,,Unknown,Caucasian-American,Unknown,,,,Mid 30s,,Brown,,2,,,,Male,Pre-Apocalypse Academic Researcher Post-Apocalypse Auditor for the Commonwealth,,,Matthew Cornwell,,,,
Ezekiel Sutton (TV Series),https://walkingdead.fandom.com/wiki/Ezekiel_Sutton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/07/Season_eleven_ezekiel_sutton.png/revision/latest/scale-to-width-down/268?cb=20221126222936,,,Mrs. Sutton † - Mother Mr. Sutton † - Father (Unnamed) † - Grandmother Carol Peletier - Ex-Wife Henry Sutton † - Adopted Son,African-American,Alive,,,,"Mid 40s ("" The Well "") Early 50s ("" Who Are You Now? "") Mid 50s ("" Rest in Peace "")",,Black (Graying),,49,,,King Ezekiel Your Majesty The King (by the Saviors ) King Assface (by Negan ) Zeke (by Carol ),Male,Pre-Apocalypse Amateur Theater Actor Zookeeper Post-Apocalypse Former Leader of the Kingdom Former Co-Leader of the Militia Co-Leader of the Coalition Former Member of the Hilltop Council [ 1 ] Former Animal Control for the Commonwealth Governor of the Commonwealth Commander-in-Chief of the Commonwealth Army,,Shiva † - Tiger,Khary Payton,,,,
Ezra (TV Series),https://walkingdead.fandom.com/wiki/Ezra_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ef/Season_eleven_ezra.png/revision/latest/scale-to-width-down/267?cb=20220228024520,,,Nabila - Mother Jerry - Father Aliyah - Sister Mariam - Sister,African/Samoan-American,Alive,,,,"5 ("" Bounty "") 6 ("" Lines We Cross "") 7 ("" Out of the Ashes "") 8 ("" Rest in Peace "")",,Black,,13,,,,Male,,,,Micah King,,,,
Farron (TV Series),https://walkingdead.fandom.com/wiki/Farron_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c6/Season_seven_farron.png/revision/latest/scale-to-width-down/268?cb=20170404020733,,,Unknown,Caucasian-American,Dead,,,,Mid 20s,,Blonde,,,,,,Female,Unknown,,,Anja Akstin,,,,
Felipe (TV Series),https://walkingdead.fandom.com/wiki/Felipe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f7/Felipe_Vatos.png/revision/latest/scale-to-width-down/268?cb=20131130151659,,,( Unnamed ) † - Grandmother Miguel † - Cousin,Mexican-American,Dead,,,,Early to Mid 30s,,Black,,,,Brown,,Male,Pre-Apocalypse Nurse Special Care Provider Post-Apocalypse Supply Runner for the Vatos Gang,,,Noel Gugliemi,,,,
Felix (TV Series),https://walkingdead.fandom.com/wiki/Felix_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/6d/Season_ten_felix.png/revision/latest/scale-to-width-down/268?cb=20200309011539,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Brown,,,,,,Male,Post-Apocalypse Soldier for the Coalition,,,Gianni Biasetti Jr.,,,,
Fisher (TV Series),https://walkingdead.fandom.com/wiki/Fisher_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/51/Season_eleven_fisher.png/revision/latest/scale-to-width-down/268?cb=20210907161534,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 50s,,Brown (Graying),,6,,,Fish (by Leah ),Male,Pre-Apocalypse Soldier for the U.S. Military Mercenary,,,Branton Box,,,,
Flame (TV Series),https://walkingdead.fandom.com/wiki/Flame_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/34/Season_four_flame_the_horse.png/revision/latest/scale-to-width-down/268?cb=20210811195203,,,Michonne Grimes - Owner,Horse,Dead,,,,Unknown,,Light brown with white,,3,,Brown,,Female,,,,Chase,,,,
Frances (TV Series),https://walkingdead.fandom.com/wiki/Frances_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/89/Season_ten_frances.png/revision/latest/scale-to-width-down/268?cb=20191014193006,,,Alice - Mother John - Father Adam Sutton - Son Mary † - Sister,Caucasian-American,Dead,,,,Mid to Late 20s,,Auburn,,4,,,,Female,Pre-Apocalypse Student,,,Juliet Brett ( S10 ),,,Emily Lane ( S9 ),
Francine (TV Series),https://walkingdead.fandom.com/wiki/Francine_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9c/Season_eight_francine.png/revision/latest/scale-to-width-down/268?cb=20210403020745,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Dark Brown,,13,,,,Female,Pre-Apocalypse Soldier for the U.S. Military and/or Police Officer Post-Apocalypse Construction Worker for the Alexandria Safe Zone Soldier for the Militia,,,Dahlia Legault,,,,
Franco (TV Series),https://walkingdead.fandom.com/wiki/Franco_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/47/508_Franco.png/revision/latest/scale-to-width-down/268?cb=20141201035741,,,Unknown,African-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Male,Pre-Apocalypse Police Officer,,,Rico Ball,,,,
Frank (TV Series),https://walkingdead.fandom.com/wiki/Frank_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/93/Frank_Staffel_9.jpg/revision/latest/scale-to-width-down/268?cb=20190213171337,,,Deborah † - Wife Lydia - Daughter (Unknown) † - Father-in-Law,Caucasian-American,Dead,,,,Early 40s,,Black,,,,,,Male,Unknown,,,Steve Kazee,,,,
Frankie (TV Series),https://walkingdead.fandom.com/wiki/Frankie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/71/Season_nine_frankie_%282%29.png/revision/latest/scale-to-width-down/268?cb=20200505165549,,,Alice - Adopted Daughter,Caucasian-American,Dead,,,,"Mid 20s ("" Sing Me a Song "") Late 20s ("" Scars "") Early to Mid 30s ("" The Calm Before "")",,Red,,7,"Negan Smith - Ex-""Husband""",,,Female,Pre-Apocalypse Masseuse Post-Apocalypse Former Servant for Eugene Porter,,,Elyse Nicole DuFour,,,,
Franklin (TV Series),https://walkingdead.fandom.com/wiki/Franklin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e3/Season_ten_franklin.png/revision/latest/scale-to-width-down/268?cb=20210329190040,,,Laura † - Adopted Daughter,African-American,Unknown,,,,Late 40s to Early 50s,,Black (Graying),,,,,,Male,Pre-Apocalypse Doctor Post-Apocalypse Leader of his own group,,,Miles Mussenden,,,,
Freddie (TV Series),https://walkingdead.fandom.com/wiki/Freddie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c4/Season_eight_freddie.png/revision/latest/scale-to-width-down/267?cb=20260218201314,,,(Unnamed) † - Late Wife,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,5,,,,Male,Post-Apocalypse Guard Captain [ 1 ] and Supply Runner for the Hilltop Colony Soldier for the Militia,,,Brett Gentile,,,,
Frost (TV Series),https://walkingdead.fandom.com/wiki/Frost_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2a/Season_eleven_frost.png/revision/latest/scale-to-width-down/268?cb=20210813215415,,,Unknown,Native/African-American,Dead,,,,Early to Mid 30s,,Black,,5,,,,Male,Unknown,,,Glenn Stanton,,,,
Gabe (TV Series),https://walkingdead.fandom.com/wiki/Gabe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/6b/Savior_2_%28Not_Tomorrow_Yet%29.png/revision/latest/scale-to-width-down/267?cb=20210806045706,,,Unknown,Latino-American,Dead,,,,Mid to Late 30s,,Black,,,,,,Male,Post-Apocalypse Guard for the Saviors,,,Ian Casselberry,,,,
Gabriel Stokes (TV Universe),https://walkingdead.fandom.com/wiki/Gabriel_Stokes_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/c/c9/Season_one_gabriel_stokes.png/revision/latest/scale-to-width-down/268?cb=20240326194711,,,Socorro Espinosa - Adopted Daughter,African-American,Alive,,,,"Mid 40s ("" Strangers "") Early 50s ("" Who Are You Now? ""/"" Become "", Flashback) Mid 50s ("" Rest in Peace ""/"" Become "")",,"Black (Graying, Bald)",,73 ( The Walking Dead ) 1 ( The Ones Who Live ),Anne † - Ex-Lover Rosita Espinosa † - Ex-Girlfriend,Brown (Right eye turned white following infection),Gabe Gabey (by Negan ),Male,Pre-Apocalypse Priest at St. Sarah's Church Post-Apocalypse Priest at the Alexandria Safe Zone Former Lookout for the Alexandria Safe Zone Former Soldier for the Militia Former Worker for the Saviors Former Head of the Alexandria Council Former Priest at the First Christian Church of the Commonwealth Co-Leader of the Coalition and the Alexandria Safe Zone,,,Seth Gilliam,,,,
Gage (TV Series),https://walkingdead.fandom.com/wiki/Gage_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/de/Season_eleven_gage_%282%29.png/revision/latest/scale-to-width-down/268?cb=20260220211905,,,Unknown,Caucasian-American,Dead,,,,Late Teens,,Light Brown,,10,,,,Male,Pre-Apocalypse Student Post-Apocalypse Soldier for the Coalition,,,Jackson Pace,,,,
Garcia (TV Series),https://walkingdead.fandom.com/wiki/Garcia_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7c/Season_eleven_garcia.png/revision/latest/scale-to-width-down/268?cb=20210823010111,,,Unknown,Latino-American,Alive,,,,Mid to Late 30s,,Unknown,,2,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Kyle Evans,,,,
Gareth (TV Series),https://walkingdead.fandom.com/wiki/Gareth_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f7/Season_five_gareth.png/revision/latest/scale-to-width-down/268?cb=20220928175930,,,Mary † - Mother Alex † - Brother,Caucasian-American,Dead,,,,Mid to Late 20s,,Brown,,5,,,,Male,Post-Apocalypse Former Leader of Terminus Leader of the Hunters,,,Andrew J. West,,,,
Gargulio (TV Series),https://walkingdead.fandom.com/wiki/Gargulio_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/74/Season_three_gargulio.png/revision/latest/scale-to-width-down/268?cb=20250223184015,,,Unknown,Italian-American,Dead,,,,Late Teens to Early 20s,,Dark Brown,,,,Brown,Neil (by Merle ),Male,Post-Apocalypse Guard for Woodbury Soldier for the Woodbury Army,,,Dave Davis,,,,
Gary (TV Series),https://walkingdead.fandom.com/wiki/Gary_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1f/Season_eight_gary.png/revision/latest/scale-to-width-down/268?cb=20260218081217,,,Unknown,African/Latino-American,Dead,,,,Mid to Late 30s,,Black,,12,,,,Male,Post-Apocalypse Former Lieutenant of the Saviors,,,Mike Seal,,,,
Gavin (TV Series),https://walkingdead.fandom.com/wiki/Gavin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/52/Season_eight_gavin.png/revision/latest/scale-to-width-down/268?cb=20221024013021,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown (Graying),,8,,,,Male,Pre-Apocalypse Construction Foreman Post-Apocalypse Lieutenant of the Saviors Former Head of the Chemical Plant Outpost,,,Jayson Warner Smith,,,,
Gavin Trevitt (TV Series),https://walkingdead.fandom.com/wiki/Gavin_Trevitt_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e8/Gavin_Trevitt_%28photo%29.png/revision/latest/scale-to-width-down/267?cb=20260521141533,,,Unknown,Caucasian-American,Dead,,,,Late 30s,,Brown,,,,Blue,,Male,Pre-Apocalypse Oncologist,,,Timothy Scott,,,,
George (TV Series),https://walkingdead.fandom.com/wiki/George_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1b/Season_seven_george.png/revision/latest?cb=20190525211343,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,,,,,Male,Unknown,,,Brian F. Durkin,,,,
Georgie's Group,https://walkingdead.fandom.com/wiki/Georgie%27s_Group,https://static.wikia.nocookie.net/walkingdead/images/d/d7/812_Georgie%27s_group.jpg/revision/latest/scale-to-width-down/267?cb=20230420165615,Unknown,TV Series,,,Unknown,Unknown,,Pioneers/Survivors,,,,Georgie,,,,,,,,,,""" The Key """,,,The Militia
Georgie (TV Series),https://walkingdead.fandom.com/wiki/Georgie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/85/Season_eight_georgie.png/revision/latest/scale-to-width-down/268?cb=20180320154634,,,Unknown,Caucasian-American,Unknown,,,,Early 60s,,Platinum Blonde,,,,,,Female,Pre-Apocalypse Professor [ 1 ] Post-Apocalypse Leader of her own group,,,Jayne Atkinson,,,,
Gina (Jocelyn's Group),https://walkingdead.fandom.com/wiki/Gina_(Jocelyn%27s_Group),https://static.wikia.nocookie.net/walkingdead/images/3/39/Season_nine_gina.png/revision/latest/scale-to-width-down/267?cb=20190318160850,,,Unknown,Asian-American,Dead,,,,16-18,,Black,,,,,,Female,Pre-Apocalypse Student,,,Jessi Goei,,,,
Gina (Savior),https://walkingdead.fandom.com/wiki/Gina_(Savior),https://static.wikia.nocookie.net/walkingdead/images/4/45/Vendor_%28Hostiles_and_Calamities%29.png/revision/latest/scale-to-width-down/268?cb=20191217215620,,,Unknown,Caucasian-American,Unknown,,,,Mid to Late 50s,,Brown (Graying),,3,,,,Female,Post-Apocalypse Former Vendor for the Sanctuary Former Worker for the Saviors,,,Gina Stewart,,,,
Glenn Rhee (TV Series),https://walkingdead.fandom.com/wiki/Glenn_Rhee_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a2/Season_six_glenn_rhee.png/revision/latest/scale-to-width-down/268?cb=20210308013809,,,Maggie Rhee - Wife Hershel Rhee - Son (Unnamed) - Sisters Josephine Greene † - Mother-In-Law Hershel Greene † - Father-In-Law Annette Greene † - Step-Mother-In-Law Beth Greene † - Half-Sister-In-Law Shawn Greene † - Step-Brother-In-Law Arnold Greene † - Cousin-In-Law,Korean-American,Dead,,,,Mid 20s,,Black,,68,,Brown,Walker Bait (by Maggie ) Short Round (by Daryl ),Male,Pre-Apocalypse Pizza Delivery Boy Post-Apocalypse Former Supply Runner for Rick's Group Former Member of the Prison Council Supply Runner for the Alexandria Safe Zone,,,Steven Yeun,,,,
Gomez (TV Series),https://walkingdead.fandom.com/wiki/Gomez_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/ac/Savior6_%28Honor%29.png/revision/latest/scale-to-width-down/268?cb=20200520221250,,,Unknown,Latino-American,Dead,,,,Mid 30s,,Brown,,,,,,Male,Unknown,,,Unknown,,,,
Gordon (TV Series),https://walkingdead.fandom.com/wiki/Gordon_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/45/Season_seven_gordon.png/revision/latest/scale-to-width-down/268?cb=20260807012853,,,Maria † - Late Wife,Caucasian-American,Dead,,,,Late 30s,,Black,,,,,,Male,Post-Apocalypse Former Worker for the Saviors,,,Michael Scialabba,,,,
Gorman (TV Series),https://walkingdead.fandom.com/wiki/Gorman_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/da/Season_five_gorman.png/revision/latest/scale-to-width-down/268?cb=20250627013939,,,Unknown,Caucasian-American,Dead,,,,Late 30s,,Brown,,,,,,Male,Pre-Apocalypse Police Officer,,,Cullen Moss,,,,
